longitud,latitud,demanda,demanda_normalizada,demandaPonderada,demandaPonderada_normalizada,id
-56.213516,-34.8616,186.0,0.0277020890099909,28.30952380952381,0.10060584325127266,1
-56.213913,-34.86204,186.0,0.0277020890099909,28.30952380952381,0.10060584325127266,2
-56.21374,-34.908157,1165.0,0.1759006963366636,129.21818181818182,0.465660660437269,3
-56.21373,-34.908184,1165.0,0.1759006963366636,129.21818181818182,0.465660660437269,4
-56.21236,-34.910103,862.0,0.1300333030578262,90.57651515151515,0.3258676353476689,5
-56.21188,-34.9106,1210.0,0.182712685437481,128.1198051948052,0.4616870898303373,6
-56.211338,-34.910954,1326.0,0.2002724795640326,138.22889610389612,0.4982585040831972,7
-56.211308,-34.91097,1326.0,0.2002724795640326,138.22889610389612,0.4982585040831972,8
-56.20992,-34.91168,1001.0,0.1510747805025734,97.60909090909092,0.35130921497216666,9
-56.209988,-34.91169,1001.0,0.1510747805025734,97.60909090909092,0.35130921497216666,10
-56.211758,-34.909634,1458.0,0.2202543142597638,180.95389610389608,0.6528237056433395,11
-56.21281,-34.90742,1450.0,0.219043293975174,177.4912337662338,0.6402969156572543,12
-56.213333,-34.906853,1070.0,0.1615198304571601,133.12380952380954,0.4797899555464375,13
-56.212334,-34.906513,1382.0,0.208749621556161,171.82380952380953,0.6197940117284739,14
-56.211853,-34.90726,1835.0,0.2773236451710566,215.09123376623376,0.7763215283819201,15
-56.211845,-34.907276,1835.0,0.2773236451710566,215.09123376623376,0.7763215283819201,16
-56.21162,-34.90753,2182.0,0.3298516500151378,261.05790043290045,0.9426140292217379,17
-56.211456,-34.908157,2193.0,0.3315168029064487,263.36699134199137,0.9509675716859702,18
-56.210632,-34.909733,2227.0,0.3366636391159552,276.92056277056275,1.0,19
-56.210625,-34.909748,2227.0,0.3366636391159552,276.92056277056275,1.0,20
-56.210564,-34.910095,2168.0,0.3277323645171056,265.79556277056275,0.9597533559425024,21
-56.20592,-34.910538,1169.0,0.1765062064789585,126.90555555555557,0.45729432820985866,22
-56.205963,-34.91055,1169.0,0.1765062064789585,126.90555555555557,0.45729432820985866,23
-56.207573,-34.91105,1397.0,0.2110202845897668,154.38131313131314,0.556692713410902,24
-56.207596,-34.911057,1397.0,0.2110202845897668,154.38131313131314,0.556692713410902,25
-56.207893,-34.911194,1332.0,0.201180744777475,142.1590909090909,0.5124766749956737,26
-56.20794,-34.911205,1332.0,0.201180744777475,142.1590909090909,0.5124766749956737,27
-56.208557,-34.911438,1347.0,0.2034514078110808,143.6590909090909,0.517903188801179,28
-56.208603,-34.911446,1347.0,0.2034514078110808,143.6590909090909,0.517903188801179,29
-56.207703,-34.907978,1133.0,0.1710566151983045,125.63001443001444,0.45267983385836624,30
-56.207706,-34.907993,1133.0,0.1710566151983045,125.63001443001444,0.45267983385836624,31
-56.20836,-34.908108,1233.0,0.1861943687556766,158.04430014430014,0.5699442131411424,32
-56.208622,-34.90764,1352.0,0.2042082954889494,169.63001443001443,0.611857572153188,33
-56.208622,-34.907627,1094.0,0.1651528913109294,118.03001443001445,0.4251854972438061,34
-56.208626,-34.906723,887.0,0.1338177414471692,87.47714507714508,0.3146551190163761,35
-56.208897,-34.906345,818.0,0.1233726914925825,85.53270063270064,0.30762074926849886,36
-56.208904,-34.906334,818.0,0.1233726914925825,85.53270063270064,0.30762074926849886,37
-56.209568,-34.90484,479.0,0.0720557069330911,62.05238095238095,0.22267656333321068,38
-56.209583,-34.9048,412.0,0.0619134120496518,55.66666666666666,0.1995751188469167,39
-56.209614,-34.90475,412.0,0.0619134120496518,55.66666666666666,0.1995751188469167,40
-56.208458,-34.90466,316.0,0.0473811686345746,35.024908424908425,0.12489992813438094,41
-56.207825,-34.906017,489.0,0.0735694822888283,44.30651015651016,0.15847775475687334,42
-56.20782,-34.90602,489.0,0.0735694822888283,44.30651015651016,0.15847775475687334,43
-56.20727,-34.907146,792.0,0.1194368755676657,81.68270063270063,0.2936926971677019,44
-56.206745,-34.908253,1357.0,0.204965183166818,139.32698412698414,0.5022310306278287,45
-56.206734,-34.908276,1357.0,0.204965183166818,139.32698412698414,0.5022310306278287,46
-56.204304,-34.908676,1242.0,0.1875567665758401,109.92842712842712,0.39587658035142614,47
-56.204273,-34.908737,1216.0,0.1836209506509234,106.26176046176045,0.38261176882685766,48
-56.204266,-34.908752,1216.0,0.1836209506509234,106.26176046176045,0.38261176882685766,49
-56.203964,-34.909405,1042.0,0.1572812594610959,87.88398268398268,0.31612692560977806,50
-56.20453,-34.910187,847.0,0.1277626400242204,69.64761904761906,0.2501536729198169,51
-56.204544,-34.91019,847.0,0.1277626400242204,69.64761904761906,0.2501536729198169,52
-56.20456,-34.910194,847.0,0.1277626400242204,69.64761904761906,0.2501536729198169,53
-56.20522,-34.90919,1485.0,0.2243415077202543,138.65772005772004,0.4998098501535685,54
-56.206562,-34.906532,403.0,0.0605510142294883,38.55903540903541,0.13768525404756352,55
-56.207386,-34.904804,441.0,0.0663033605812897,37.04542124542124,0.1322094886108564,56
-56.207638,-34.904255,328.0,0.0491976990614592,26.05970695970696,0.09246673512101296,57
-56.206234,-34.904823,825.0,0.1244323342415985,67.07948717948717,0.24086300422863302,58
-56.206223,-34.904842,825.0,0.1244323342415985,67.07948717948717,0.24086300422863302,59
-56.205807,-34.905502,822.0,0.1239782016348773,67.74615384615385,0.24327478814219095,60
-56.203598,-34.90781,954.0,0.1439600363306085,87.39985569985569,0.3143755111011229,61
-56.203606,-34.907795,954.0,0.1439600363306085,87.39985569985569,0.3143755111011229,62
