Poblacion,Generaciones,Greedy,Cruce,Mutacion,Fitness
50,200,0.50,0.90,0.10,-46.18
100,100,0.50,0.90,0.10,-47.21
100,200,0.50,0.90,0.10,-49.23
50,200,0.50,0.90,0.20,-47.86
100,100,0.50,0.90,0.20,-46.84
50,200,0.50,0.90,0.05,-46.29
100,200,0.50,0.90,0.20,-49.79
50,200,0.50,0.90,0.01,-47.41
100,100,0.50,0.90,0.05,-46.62
200,200,0.50,0.90,0.10,-50.01
50,200,0.50,1.00,0.10,-47.06
100,200,0.50,0.90,0.05,-49.02
50,200,0.50,1.00,0.20,-49.11
100,100,0.50,0.90,0.01,-48.10
500,100,0.50,0.90,0.10,-50.69
50,200,0.50,1.00,0.05,-45.77
100,100,0.50,1.00,0.10,-46.51
100,200,0.50,0.90,0.01,-47.69
50,200,0.50,1.00,0.01,-45.98
200,200,0.50,0.90,0.20,-51.04
50,200,0.50,0.80,0.10,-46.71
100,100,0.50,1.00,0.20,-49.36
100,200,0.50,1.00,0.10,-48.14
500,200,0.50,0.90,0.10,-51.52
50,200,0.50,0.80,0.20,-46.82
50,200,0.50,0.80,0.05,-48.33
100,100,0.50,1.00,0.05,-49.95
100,200,0.50,1.00,0.20,-49.51
50,200,0.50,0.80,0.01,-46.60
100,100,0.50,1.00,0.01,-46.99
200,200,0.50,0.90,0.05,-49.33
50,200,0.50,0.70,0.10,-45.98
500,500,0.30,0.90,0.10,-51.10
100,200,0.50,1.00,0.05,-49.04
50,200,0.50,0.70,0.20,-48.31
100,100,0.50,0.80,0.10,-46.84
500,100,0.50,0.90,0.20,-51.64
50,200,0.50,0.70,0.05,-46.87
500,500,0.50,0.90,0.10,-54.54
100,100,0.50,0.80,0.20,-47.21
100,200,0.50,1.00,0.01,-46.84
50,200,0.50,0.70,0.01,-45.27
200,200,0.50,0.90,0.01,-48.77
100,100,0.50,0.80,0.05,-47.68
50,200,0.90,0.90,0.10,-51.18
100,200,0.50,0.80,0.10,-47.96
50,200,0.90,0.90,0.20,-51.72
100,100,0.50,0.80,0.01,-46.13
100,200,0.50,0.80,0.20,-49.44
50,200,0.90,0.90,0.05,-51.66
100,100,0.50,0.70,0.10,-47.45
500,200,0.50,0.90,0.20,-51.41
200,200,0.50,1.00,0.10,-51.22
50,200,0.90,0.90,0.01,-51.13
100,200,0.50,0.80,0.05,-47.06
100,100,0.50,0.70,0.20,-48.11
50,200,0.90,1.00,0.10,-51.37
500,100,0.50,0.90,0.05,-47.77
100,100,0.50,0.70,0.05,-46.58
100,200,0.50,0.80,0.01,-46.90
50,200,0.90,1.00,0.20,-51.34
