Poblacion,Generaciones,Greedy,Cruce,Mutacion,Fitness
50,200,0.50,0.90,0.10,-46.24
100,100,0.50,0.90,0.10,-47.21
100,200,0.50,0.90,0.10,-47.32
50,200,0.50,0.90,0.20,-47.63
100,500,0.50,0.90,0.10,-50.46
100,100,0.50,0.90,0.20,-48.15
50,200,0.50,0.90,0.05,-47.79
200,50,0.50,0.90,0.10,-48.12
200,200,0.50,0.90,0.10,-48.79
200,100,0.50,0.90,0.10,-47.90
100,200,0.50,0.90,0.20,-50.89
50,200,0.50,0.90,0.01,-46.42
100,100,0.50,0.90,0.05,-46.24
50,200,0.50,1.00,0.10,-47.93
100,200,0.50,0.90,0.05,-48.03
200,50,0.50,0.90,0.20,-46.97
100,500,0.50,0.90,0.20,-50.48
50,200,0.50,1.00,0.20,-47.94
100,100,0.50,0.90,0.01,-49.20
200,100,0.50,0.90,0.20,-49.16
50,200,0.50,1.00,0.05,-46.06
200,200,0.50,0.90,0.20,-48.13
100,200,0.50,0.90,0.01,-51.27
100,100,0.50,1.00,0.10,-47.95
50,200,0.50,1.00,0.01,-46.17
200,50,0.50,0.90,0.05,-48.34
50,200,0.50,0.80,0.10,-47.72
500,200,0.50,0.90,0.10,-51.89
100,500,0.50,0.90,0.05,-48.80
100,100,0.50,1.00,0.20,-48.69
100,200,0.50,1.00,0.10,-50.56
200,100,0.50,0.90,0.05,-50.67
50,200,0.50,0.80,0.20,-47.88
50,200,0.50,0.80,0.05,-46.44
100,100,0.50,1.00,0.05,-47.79
200,50,0.50,0.90,0.01,-50.65
200,200,0.50,0.90,0.05,-47.07
100,200,0.50,1.00,0.20,-48.94
50,200,0.50,0.80,0.01,-46.89
100,500,0.50,0.90,0.01,-47.25
100,100,0.50,1.00,0.01,-45.67
50,200,0.50,0.70,0.10,-48.25
200,100,0.50,0.90,0.01,-50.32
100,200,0.50,1.00,0.05,-47.55
50,200,0.50,0.70,0.20,-47.28
100,100,0.50,0.80,0.10,-46.21
200,50,0.50,1.00,0.10,-46.88
50,200,0.50,0.70,0.05,-46.48
100,100,0.50,0.80,0.20,-47.18
200,200,0.50,0.90,0.01,-46.50
100,500,0.50,1.00,0.10,-49.05
100,200,0.50,1.00,0.01,-48.42
50,200,0.50,0.70,0.01,-46.23
200,100,0.50,1.00,0.10,-48.52
200,50,0.50,1.00,0.20,-49.10
100,100,0.50,0.80,0.05,-45.89
50,200,0.90,0.90,0.10,-51.19
100,200,0.50,0.80,0.10,-47.32
100,100,0.50,0.80,0.01,-46.66
50,200,0.90,0.90,0.20,-52.98
100,500,0.50,1.00,0.20,-51.53
200,100,0.50,1.00,0.20,-51.10
100,200,0.50,0.80,0.20,-47.79
200,200,0.50,1.00,0.10,-48.44
200,50,0.50,1.00,0.05,-47.91
50,200,0.90,0.90,0.05,-51.38
100,100,0.50,0.70,0.10,-47.19
500,200,0.50,0.90,0.20,-51.63
50,200,0.90,0.90,0.01,-51.61
100,200,0.50,0.80,0.05,-47.67
100,100,0.50,0.70,0.20,-50.74
100,500,0.50,1.00,0.05,-48.72
200,50,0.50,1.00,0.01,-47.92
200,100,0.50,1.00,0.05,-48.31
50,200,0.90,1.00,0.10,-51.13
100,100,0.50,0.70,0.05,-47.17
100,200,0.50,0.80,0.01,-47.92
200,200,0.50,1.00,0.20,-51.08
50,200,0.90,1.00,0.20,-52.02
100,100,0.50,0.70,0.01,-46.57
200,50,0.50,0.80,0.10,-48.76
100,200,0.50,0.70,0.10,-49.31
100,500,0.50,1.00,0.01,-49.95
50,200,0.90,1.00,0.05,-51.19
200,100,0.50,1.00,0.01,-48.04
100,100,0.90,0.90,0.10,-51.21
200,50,0.50,0.80,0.20,-48.64
50,200,0.90,1.00,0.01,-50.88
200,200,0.50,1.00,0.05,-49.18
100,200,0.50,0.70,0.20,-49.24
50,200,0.90,0.80,0.10,-51.28
100,500,0.50,0.80,0.10,-47.77
200,100,0.50,0.80,0.10,-47.00
