Poblacion,Generaciones,Greedy,Cruce,Mutacion,Fitness
100,200,0.50,0.90,0.10,-48.51
200,100,0.50,0.90,0.10,-49.30
200,200,0.30,0.90,0.10,-49.35
100,200,0.50,0.90,0.20,-49.45
200,200,0.50,0.80,0.10,-49.25
200,200,0.50,0.90,0.10,-47.95
200,500,0.50,0.90,0.10,-50.92
200,200,0.90,0.90,0.10,-52.05
100,200,0.50,0.90,0.05,-46.60
200,100,0.50,0.90,0.20,-50.92
200,200,0.30,0.90,0.20,-47.32
100,200,0.50,0.90,0.01,-47.54
200,200,0.50,0.80,0.20,-49.21
200,200,0.50,0.90,0.20,-48.91
200,100,0.50,0.90,0.05,-47.93
200,200,0.30,0.90,0.05,-47.15
100,200,0.50,1.00,0.10,-47.89
200,200,0.90,0.90,0.20,-53.36
500,200,0.50,0.90,0.10,-52.20
100,200,0.50,1.00,0.20,-49.79
200,200,0.50,0.80,0.05,-49.35
200,200,0.50,0.90,0.05,-47.33
200,500,0.50,0.90,0.20,-55.22
200,100,0.50,0.90,0.01,-47.42
200,200,0.30,0.90,0.01,-47.00
100,200,0.50,1.00,0.05,-47.85
200,100,0.50,1.00,0.10,-48.57
100,200,0.50,1.00,0.01,-48.80
200,200,0.50,0.80,0.01,-49.49
200,200,0.90,0.90,0.05,-52.73
200,200,0.30,1.00,0.10,-47.19
200,200,0.50,0.90,0.01,-48.86
100,200,0.50,0.80,0.10,-47.48
200,500,0.50,0.90,0.05,-51.25
200,100,0.50,1.00,0.20,-49.71
200,200,0.30,1.00,0.20,-48.73
100,200,0.50,0.80,0.20,-48.03
200,200,0.50,0.70,0.10,-53.33
200,200,0.50,1.00,0.10,-51.61
500,200,0.50,0.90,0.20,-52.75
200,200,0.90,0.90,0.01,-52.54
100,200,0.50,0.80,0.05,-47.73
200,100,0.50,1.00,0.05,-50.14
200,200,0.30,1.00,0.05,-51.11
100,200,0.50,0.80,0.01,-46.73
200,200,0.50,0.70,0.20,-52.48
200,200,0.50,1.00,0.20,-50.43
200,100,0.50,1.00,0.01,-48.23
100,200,0.50,0.70,0.10,-49.01
200,500,0.50,0.90,0.01,-50.01
200,200,0.30,1.00,0.01,-48.25
200,100,0.50,0.80,0.10,-49.64
100,200,0.50,0.70,0.20,-47.36
200,200,0.90,1.00,0.10,-52.20
200,200,0.50,0.70,0.05,-47.54
200,200,0.50,1.00,0.05,-47.99
100,200,0.50,0.70,0.05,-46.80
200,200,0.30,0.80,0.10,-49.01
200,100,0.50,0.80,0.20,-50.44
500,200,0.50,0.90,0.05,-49.79
100,200,0.50,0.70,0.01,-46.77
200,200,0.50,0.70,0.01,-51.65
200,500,0.50,1.00,0.10,-50.63
200,200,0.30,0.80,0.20,-49.46
200,200,0.50,1.00,0.01,-49.68
200,100,0.50,0.80,0.05,-46.80
200,200,0.90,1.00,0.20,-54.30
100,200,0.90,0.90,0.10,-51.71
200,200,0.30,0.80,0.05,-45.33
200,100,0.50,0.80,0.01,-49.07
100,200,0.90,0.90,0.20,-51.95
200,500,0.30,0.90,0.10,-49.88
100,200,0.90,0.90,0.05,-51.40
200,200,0.30,0.80,0.01,-47.57
200,200,0.90,1.00,0.05,-54.03
200,100,0.50,0.70,0.10,-49.05
200,500,0.50,1.00,0.20,-51.74
500,200,0.50,0.90,0.01,-50.32
200,200,0.30,0.70,0.10,-49.48
100,200,0.90,0.90,0.01,-51.48
200,100,0.50,0.70,0.20,-47.62
200,200,0.90,1.00,0.01,-51.25
200,500,0.30,0.90,0.20,-52.84
100,200,0.90,1.00,0.10,-51.19
200,200,0.30,0.70,0.20,-47.52
200,100,0.50,0.70,0.05,-46.95
200,500,0.50,1.00,0.05,-51.36
100,200,0.90,1.00,0.20,-52.70
200,200,0.90,0.80,0.10,-51.85
200,100,0.50,0.70,0.01,-48.67
200,200,0.30,0.70,0.05,-47.38
200,500,0.30,0.90,0.05,-48.21
100,200,0.90,1.00,0.05,-52.13
200,200,0.30,0.70,0.01,-45.21
200,500,0.50,1.00,0.01,-49.55
500,200,0.50,1.00,0.10,-51.30
200,200,0.90,0.80,0.20,-52.72
200,100,0.90,0.90,0.10,-53.44
100,200,0.90,1.00,0.01,-51.48
200,200,0.10,0.90,0.10,-46.90
200,500,0.30,0.90,0.01,-46.95
100,200,0.90,0.80,0.10,-51.86
200,200,0.90,0.80,0.05,-52.79
200,200,0.10,0.90,0.20,-48.24
200,500,0.50,0.80,0.10,-49.16
200,100,0.90,0.90,0.20,-52.36
100,200,0.90,0.80,0.20,-52.44
200,200,0.10,0.90,0.05,-48.72
100,200,0.90,0.80,0.05,-51.52
500,200,0.50,1.00,0.20,-50.95
200,500,0.30,1.00,0.10,-50.88
200,200,0.90,0.80,0.01,-52.36
200,100,0.90,0.90,0.05,-53.47
200,200,0.10,0.90,0.01,-48.19
200,500,0.50,0.80,0.20,-51.93
100,200,0.90,0.80,0.01,-51.26
200,200,0.10,1.00,0.10,-50.41
100,200,0.90,0.70,0.10,-51.40
200,100,0.90,0.90,0.01,-51.46
200,200,0.10,1.00,0.20,-46.81
200,200,0.90,0.70,0.10,-52.00
200,500,0.30,1.00,0.20,-49.68
200,200,0.10,1.00,0.05,-47.84
100,200,0.90,0.70,0.20,-52.23
200,500,0.50,0.80,0.05,-51.13
200,200,0.10,1.00,0.01,-46.40
200,100,0.90,1.00,0.10,-51.70
100,200,0.90,0.70,0.05,-51.44
500,200,0.50,1.00,0.05,-51.07
200,200,0.90,0.70,0.20,-53.61
200,500,0.30,1.00,0.05,-47.87
200,200,0.10,0.80,0.10,-46.48
100,200,0.90,0.70,0.01,-50.94
200,100,0.90,1.00,0.20,-52.60
200,200,0.10,0.80,0.20,-47.26
100,200,0.30,0.90,0.10,-45.46
200,500,0.50,0.80,0.01,-49.01
200,500,0.30,1.00,0.01,-50.49
100,200,0.30,0.90,0.20,-47.11
200,200,0.10,0.80,0.05,-47.23
200,200,0.90,0.70,0.05,-51.64
100,200,0.30,0.90,0.05,-44.89
200,100,0.90,1.00,0.05,-52.00
200,200,0.10,0.80,0.01,-44.87
100,200,0.30,0.90,0.01,-44.87
500,200,0.50,1.00,0.01,-50.76
100,200,0.30,1.00,0.10,-45.57
200,200,0.10,0.70,0.10,-46.36
200,500,0.50,0.70,0.10,-49.15
200,500,0.30,0.80,0.10,-50.87
200,200,0.90,0.70,0.01,-51.72
100,200,0.30,1.00,0.20,-49.31
200,200,0.10,0.70,0.20,-45.05
200,100,0.90,1.00,0.01,-52.00
100,200,0.30,1.00,0.05,-45.18
100,200,0.30,1.00,0.01,-44.15
200,200,0.10,0.70,0.05,-46.64
100,200,0.30,0.80,0.10,-46.36
200,500,0.30,0.80,0.20,-52.58
200,500,0.50,0.70,0.20,-52.72
200,200,0.10,0.70,0.01,-45.21
200,100,0.90,0.80,0.10,-52.93
100,200,0.30,0.80,0.20,-46.95
500,100,0.50,0.90,0.10,-51.97
100,200,0.30,0.80,0.05,-45.11
500,200,0.50,0.80,0.10,-51.29
100,200,0.30,0.80,0.01,-44.21
200,500,0.50,0.70,0.05,-48.14
100,200,0.30,0.70,0.10,-46.87
200,100,0.90,0.80,0.20,-53.56
200,500,0.30,0.80,0.05,-50.76
500,50,0.50,0.90,0.10,-51.76
100,200,0.30,0.70,0.20,-46.71
100,200,0.30,0.70,0.05,-45.62
100,200,0.30,0.70,0.01,-44.31
500,100,0.50,0.90,0.20,-51.87
200,100,0.90,0.80,0.05,-53.24
100,200,0.10,0.90,0.10,-45.27
500,50,0.50,0.90,0.20,-51.96
200,500,0.50,0.70,0.01,-51.23
100,200,0.10,0.90,0.20,-46.08
200,500,0.30,0.80,0.01,-49.54
100,200,0.10,0.90,0.05,-41.68
500,200,0.50,0.80,0.20,-50.57
100,200,0.10,0.90,0.01,-45.27
200,100,0.90,0.80,0.01,-51.91
100,200,0.10,1.00,0.10,-45.73
100,200,0.10,1.00,0.20,-46.42
200,500,0.30,0.70,0.10,-50.76
100,200,0.10,1.00,0.05,-45.94
500,100,0.50,0.90,0.05,-51.00
500,50,0.50,0.90,0.05,-49.89
200,500,0.90,0.90,0.10,-52.78
200,100,0.90,0.70,0.10,-51.99
100,200,0.10,1.00,0.01,-45.20
100,200,0.10,0.80,0.10,-44.20
100,200,0.10,0.80,0.20,-45.83
200,100,0.90,0.70,0.20,-52.49
100,200,0.10,0.80,0.05,-46.22
200,500,0.30,0.70,0.20,-49.96
100,200,0.10,0.80,0.01,-40.98
500,50,0.50,0.90,0.01,-49.88
500,200,0.50,0.80,0.05,-50.78
100,200,0.10,0.70,0.10,-44.14
500,100,0.50,0.90,0.01,-50.77
200,500,0.90,0.90,0.20,-54.42
100,200,0.10,0.70,0.20,-44.57
100,200,0.10,0.70,0.05,-42.98
200,100,0.90,0.70,0.05,-52.03
100,200,0.10,0.70,0.01,-43.86
200,500,0.30,0.70,0.05,-50.43
500,50,0.50,1.00,0.10,-50.89
100,500,0.50,0.90,0.10,-48.35
200,100,0.90,0.70,0.01,-51.88
500,100,0.50,1.00,0.10,-53.24
200,500,0.90,0.90,0.05,-53.30
200,100,0.30,0.90,0.10,-48.10
200,500,0.30,0.70,0.01,-47.49
100,500,0.50,0.90,0.20,-48.93
500,200,0.50,0.80,0.01,-51.28
200,100,0.30,0.90,0.20,-45.40
500,50,0.50,1.00,0.20,-51.54
100,500,0.50,0.90,0.05,-49.83
200,100,0.30,0.90,0.05,-48.47
200,500,0.10,0.90,0.10,-51.52
500,100,0.50,1.00,0.20,-51.18
200,100,0.30,0.90,0.01,-45.55
100,500,0.50,0.90,0.01,-48.29
200,500,0.90,0.90,0.01,-52.36
200,100,0.30,1.00,0.10,-47.10
500,50,0.50,1.00,0.05,-50.27
100,500,0.50,1.00,0.10,-49.03
200,500,0.10,0.90,0.20,-52.17
500,200,0.50,0.70,0.10,-50.93
200,100,0.30,1.00,0.20,-48.60
100,500,0.50,1.00,0.20,-49.91
200,100,0.30,1.00,0.05,-47.22
500,100,0.50,1.00,0.05,-50.65
200,500,0.90,1.00,0.10,-55.59
200,500,0.10,0.90,0.05,-49.35
200,100,0.30,1.00,0.01,-46.91
100,500,0.50,1.00,0.05,-48.38
500,50,0.50,1.00,0.01,-49.88
200,100,0.30,0.80,0.10,-49.01
100,500,0.50,1.00,0.01,-48.55
200,500,0.10,0.90,0.01,-48.12
200,100,0.30,0.80,0.20,-45.77
500,200,0.50,0.70,0.20,-51.77
200,500,0.90,1.00,0.20,-57.35
500,100,0.50,1.00,0.01,-50.64
200,100,0.30,0.80,0.05,-47.83
100,500,0.50,0.80,0.10,-50.00
500,50,0.50,0.80,0.10,-51.95
200,500,0.10,1.00,0.10,-51.56
200,100,0.30,0.80,0.01,-46.31
100,500,0.50,0.80,0.20,-50.98
200,100,0.30,0.70,0.10,-46.82
100,500,0.50,0.80,0.05,-47.76
200,100,0.30,0.70,0.20,-47.20
200,500,0.10,1.00,0.20,-50.88
500,50,0.50,0.80,0.20,-50.73
200,500,0.90,1.00,0.05,-53.51
500,100,0.50,0.80,0.10,-49.00
200,100,0.30,0.70,0.05,-47.21
100,500,0.50,0.80,0.01,-49.40
500,200,0.50,0.70,0.05,-51.28
200,100,0.30,0.70,0.01,-44.29
200,500,0.10,1.00,0.05,-50.79
100,500,0.50,0.70,0.10,-47.92
200,100,0.10,0.90,0.10,-46.03
500,50,0.50,0.80,0.05,-50.56
200,100,0.10,0.90,0.20,-48.55
100,500,0.50,0.70,0.20,-49.19
200,100,0.10,0.90,0.05,-47.13
200,500,0.90,1.00,0.01,-52.81
500,100,0.50,0.80,0.20,-52.18
200,500,0.10,1.00,0.01,-49.04
200,100,0.10,0.90,0.01,-48.36
100,500,0.50,0.70,0.05,-47.49
200,100,0.10,1.00,0.10,-49.55
500,200,0.50,0.70,0.01,-49.47
200,100,0.10,1.00,0.20,-47.52
500,50,0.50,0.80,0.01,-51.56
100,500,0.50,0.70,0.01,-47.46
200,500,0.10,0.80,0.10,-49.72
200,100,0.10,1.00,0.05,-45.62
200,100,0.10,1.00,0.01,-48.93
200,500,0.90,0.80,0.10,-53.45
500,100,0.50,0.80,0.05,-48.10
200,100,0.10,0.80,0.10,-45.01
100,500,0.90,0.90,0.10,-52.39
200,100,0.10,0.80,0.20,-46.46
200,500,0.10,0.80,0.20,-53.18
500,50,0.50,0.70,0.10,-49.08
200,100,0.10,0.80,0.05,-46.28
200,100,0.10,0.80,0.01,-47.54
100,500,0.90,0.90,0.20,-52.89
200,100,0.10,0.70,0.10,-45.25
200,100,0.10,0.70,0.20,-47.30
200,500,0.10,0.80,0.05,-51.39
200,500,0.90,0.80,0.20,-55.20
500,100,0.50,0.80,0.01,-48.80
500,200,0.90,0.90,0.10,-53.41
500,50,0.50,0.70,0.20,-48.45
200,100,0.10,0.70,0.05,-44.97
100,500,0.90,0.90,0.05,-53.45
200,100,0.10,0.70,0.01,-44.04
100,500,0.90,0.90,0.01,-51.96
200,500,0.10,0.80,0.01,-48.86
200,50,0.50,0.90,0.10,-50.13
200,500,0.90,0.80,0.05,-52.07
200,50,0.50,0.90,0.20,-47.32
500,50,0.50,0.70,0.05,-51.58
500,100,0.50,0.70,0.10,-49.12
100,500,0.90,1.00,0.10,-52.94
200,50,0.50,0.90,0.05,-47.20
200,500,0.10,0.70,0.10,-47.24
200,50,0.50,0.90,0.01,-46.74
100,500,0.90,1.00,0.20,-55.31
500,200,0.90,0.90,0.20,-57.88
200,500,0.90,0.80,0.01,-51.41
500,50,0.50,0.70,0.01,-50.64
200,500,0.10,0.70,0.20,-48.57
200,50,0.50,1.00,0.10,-48.42
500,100,0.50,0.70,0.20,-51.10
100,500,0.90,1.00,0.05,-52.33
200,50,0.50,1.00,0.20,-49.17
200,500,0.10,0.70,0.05,-47.87
200,50,0.50,1.00,0.05,-50.63
100,500,0.90,1.00,0.01,-51.26
200,500,0.90,0.70,0.10,-54.00
200,50,0.50,1.00,0.01,-46.77
500,50,0.90,0.90,0.10,-53.29
100,500,0.90,0.80,0.10,-52.29
200,500,0.10,0.70,0.01,-47.68
500,100,0.50,0.70,0.05,-50.42
500,200,0.90,0.90,0.05,-54.25
200,50,0.50,0.80,0.10,-46.78
200,50,0.50,0.80,0.20,-48.78
100,500,0.90,0.80,0.20,-52.87
200,500,0.90,0.70,0.20,-54.89
200,50,0.50,0.80,0.05,-46.78
200,500,0.90,0.70,0.05,-52.15
500,100,0.50,0.70,0.01,-49.05
50,200,0.50,0.90,0.10,-47.76
500,50,0.90,0.90,0.20,-54.28
100,500,0.90,0.80,0.05,-51.90
50,200,0.50,0.90,0.20,-46.83
200,50,0.50,0.80,0.01,-48.75
50,200,0.50,0.90,0.05,-46.48
50,200,0.50,0.90,0.01,-46.15
200,50,0.50,0.70,0.10,-47.93
200,500,0.90,0.70,0.01,-54.18
50,200,0.50,1.00,0.10,-47.19
100,500,0.90,0.80,0.01,-52.09
50,200,0.50,1.00,0.20,-46.65
200,50,0.30,0.90,0.10,-46.72
50,200,0.50,1.00,0.05,-46.89
500,200,0.90,0.90,0.01,-54.02
200,50,0.50,0.70,0.20,-50.06
50,200,0.50,1.00,0.01,-46.53
200,50,0.30,0.90,0.20,-45.25
50,200,0.50,0.80,0.10,-46.26
100,500,0.90,0.70,0.10,-52.07
50,200,0.50,0.80,0.20,-46.59
200,50,0.50,0.70,0.05,-49.52
200,50,0.30,0.90,0.05,-45.96
50,200,0.50,0.80,0.05,-47.92
500,100,0.90,0.90,0.10,-54.52
50,200,0.50,0.80,0.01,-46.23
200,50,0.30,0.90,0.01,-46.60
500,50,0.90,0.90,0.05,-53.70
50,200,0.50,0.70,0.10,-46.54
200,50,0.50,0.70,0.01,-48.27
100,500,0.90,0.70,0.20,-54.42
50,200,0.50,0.70,0.20,-46.83
200,50,0.30,1.00,0.10,-46.76
50,200,0.50,0.70,0.05,-45.44
50,200,0.50,0.70,0.01,-46.79
200,50,0.30,1.00,0.20,-46.20
50,200,0.90,0.90,0.10,-51.58
200,50,0.90,0.90,0.10,-53.04
100,500,0.90,0.70,0.05,-52.19
200,50,0.30,1.00,0.05,-45.92
50,200,0.90,0.90,0.20,-51.79
50,200,0.90,0.90,0.05,-51.22
200,50,0.30,1.00,0.01,-47.52
50,200,0.90,0.90,0.01,-51.32
200,50,0.30,0.80,0.10,-45.94
200,50,0.90,0.90,0.20,-53.04
100,500,0.90,0.70,0.01,-51.58
500,50,0.90,0.90,0.01,-51.87
500,100,0.90,0.90,0.20,-55.81
50,200,0.90,1.00,0.10,-51.55
500,200,0.90,1.00,0.10,-54.84
200,50,0.30,0.80,0.20,-46.28
50,200,0.90,1.00,0.20,-51.53
100,500,0.30,0.90,0.10,-48.38
200,50,0.30,0.80,0.05,-47.24
50,200,0.90,1.00,0.05,-51.05
200,50,0.90,0.90,0.05,-52.32
50,200,0.90,1.00,0.01,-50.88
200,50,0.30,0.80,0.01,-47.46
100,500,0.30,0.90,0.20,-46.86
50,200,0.90,0.80,0.10,-53.41
200,50,0.30,0.70,0.10,-48.41
50,200,0.90,0.80,0.20,-53.16
100,500,0.30,0.90,0.05,-45.76
200,50,0.90,0.90,0.01,-51.51
200,50,0.30,0.70,0.20,-46.98
50,200,0.90,0.80,0.05,-51.21
50,200,0.90,0.80,0.01,-51.09
100,500,0.30,0.90,0.01,-46.77
200,50,0.30,0.70,0.05,-45.91
500,50,0.90,1.00,0.10,-54.32
50,200,0.90,0.70,0.10,-51.24
500,100,0.90,0.90,0.05,-52.91
200,50,0.30,0.70,0.01,-45.12
200,50,0.90,1.00,0.10,-53.16
200,50,0.10,0.90,0.10,-44.48
50,200,0.90,0.70,0.20,-51.46
100,500,0.30,1.00,0.10,-46.99
200,50,0.10,0.90,0.20,-46.00
50,200,0.90,0.70,0.05,-51.27
500,200,0.90,1.00,0.20,-55.65
200,50,0.10,0.90,0.05,-46.95
50,200,0.90,0.70,0.01,-51.39
200,50,0.10,0.90,0.01,-45.54
50,200,0.30,0.90,0.10,-44.41
100,500,0.30,1.00,0.20,-49.20
200,50,0.90,1.00,0.20,-53.17
200,50,0.10,1.00,0.10,-44.25
50,200,0.30,0.90,0.20,-44.32
50,200,0.30,0.90,0.05,-44.91
200,50,0.10,1.00,0.20,-47.51
50,200,0.30,0.90,0.01,-43.11
200,50,0.10,1.00,0.05,-47.09
50,200,0.30,1.00,0.10,-45.00
100,500,0.30,1.00,0.05,-48.02
200,50,0.10,1.00,0.01,-45.24
500,50,0.90,1.00,0.20,-55.87
50,200,0.30,1.00,0.20,-44.84
200,50,0.10,0.80,0.10,-45.96
50,200,0.30,1.00,0.05,-44.41
200,50,0.90,1.00,0.05,-51.59
50,200,0.30,1.00,0.01,-43.80
100,500,0.30,1.00,0.01,-47.63
500,100,0.90,0.90,0.01,-54.79
200,50,0.10,0.80,0.20,-46.78
50,200,0.30,0.80,0.10,-44.11
200,50,0.10,0.80,0.05,-44.03
50,200,0.30,0.80,0.20,-46.29
50,200,0.30,0.80,0.05,-44.47
200,50,0.10,0.80,0.01,-43.87
100,500,0.30,0.80,0.10,-47.43
50,200,0.30,0.80,0.01,-45.00
200,50,0.10,0.70,0.10,-44.43
200,50,0.90,1.00,0.01,-51.18
50,200,0.30,0.70,0.10,-43.91
200,50,0.10,0.70,0.20,-44.03
50,200,0.30,0.70,0.20,-46.00
50,200,0.30,0.70,0.05,-43.28
200,50,0.10,0.70,0.05,-44.62
100,500,0.30,0.80,0.20,-48.07
50,200,0.30,0.70,0.01,-43.46
200,50,0.10,0.70,0.01,-46.83
50,200,0.10,0.90,0.10,-46.05
50,200,0.10,0.90,0.20,-44.64
500,200,0.90,1.00,0.05,-53.23
50,200,0.10,0.90,0.05,-43.71
200,50,0.90,0.80,0.10,-51.81
50,200,0.10,0.90,0.01,-41.51
100,500,0.30,0.80,0.05,-47.27
50,200,0.10,1.00,0.10,-45.49
50,200,0.10,1.00,0.20,-44.04
500,50,0.90,1.00,0.05,-52.32
50,200,0.10,1.00,0.05,-41.82
50,200,0.10,1.00,0.01,-43.73
200,50,0.90,0.70,0.10,-51.96
50,200,0.10,0.80,0.10,-42.93
100,500,0.30,0.80,0.01,-45.52
50,200,0.10,0.80,0.20,-42.12
50,200,0.10,0.80,0.05,-39.89
200,50,0.90,0.80,0.20,-52.02
50,200,0.10,0.80,0.01,-40.84
500,100,0.90,1.00,0.10,-53.21
50,200,0.10,0.70,0.10,-40.86
50,200,0.10,0.70,0.20,-40.00
100,500,0.30,0.70,0.10,-47.57
50,200,0.10,0.70,0.05,-42.43
50,200,0.10,0.70,0.01,-40.31
200,50,0.90,0.70,0.20,-53.20
50,500,0.50,0.90,0.10,-47.38
100,500,0.30,0.70,0.20,-47.72
200,50,0.90,0.80,0.05,-52.74
50,500,0.50,0.90,0.20,-48.37
50,500,0.50,0.90,0.05,-46.79
100,500,0.30,0.70,0.05,-45.56
200,50,0.90,0.70,0.05,-51.50
500,50,0.90,1.00,0.01,-54.27
50,500,0.50,0.90,0.01,-46.94
200,50,0.90,0.80,0.01,-54.12
100,500,0.30,0.70,0.01,-48.52
500,200,0.90,1.00,0.01,-53.41
50,500,0.50,1.00,0.10,-48.86
200,50,0.90,0.70,0.01,-51.13
50,500,0.50,1.00,0.20,-48.24
50,100,0.50,0.90,0.10,-47.97
500,100,0.90,1.00,0.20,-55.31
100,500,0.10,0.90,0.10,-48.07
50,100,0.50,0.90,0.20,-47.34
50,500,0.50,1.00,0.05,-47.44
50,100,0.50,0.90,0.05,-45.65
50,100,0.50,0.90,0.01,-45.74
50,500,0.50,1.00,0.01,-47.40
100,500,0.10,0.90,0.20,-48.96
50,100,0.50,1.00,0.10,-47.19
500,50,0.30,0.90,0.10,-49.02
50,100,0.50,1.00,0.20,-47.69
50,500,0.50,0.80,0.10,-49.01
50,100,0.50,1.00,0.05,-48.47
500,50,0.90,0.80,0.10,-54.54
100,500,0.10,0.90,0.05,-49.60
50,100,0.50,1.00,0.01,-47.44
50,500,0.50,0.80,0.20,-48.39
50,100,0.50,0.80,0.10,-49.54
50,100,0.50,0.80,0.20,-46.80
100,500,0.10,0.90,0.01,-40.11
50,500,0.50,0.80,0.05,-46.48
50,100,0.50,0.80,0.05,-46.03
500,50,0.30,0.90,0.20,-48.66
50,100,0.50,0.80,0.01,-47.71
50,500,0.50,0.80,0.01,-46.58
50,100,0.50,0.70,0.10,-46.78
100,500,0.10,1.00,0.10,-48.75
50,100,0.50,0.70,0.20,-46.41
50,500,0.50,0.70,0.10,-48.36
50,100,0.50,0.70,0.05,-46.33
50,100,0.50,0.70,0.01,-46.31
100,500,0.10,1.00,0.20,-48.51
50,500,0.50,0.70,0.20,-48.74
500,100,0.90,1.00,0.05,-52.15
500,200,0.90,0.80,0.10,-54.82
50,100,0.90,0.90,0.10,-51.09
500,50,0.30,0.90,0.05,-49.71
50,500,0.50,0.70,0.05,-46.19
50,100,0.90,0.90,0.20,-51.38
100,500,0.10,1.00,0.05,-44.32
50,100,0.90,0.90,0.05,-52.28
500,50,0.90,0.80,0.20,-53.82
50,500,0.50,0.70,0.01,-45.87
50,100,0.90,0.90,0.01,-50.94
100,500,0.10,1.00,0.01,-46.54
50,500,0.90,0.90,0.10,-52.58
50,100,0.90,1.00,0.10,-51.46
500,50,0.30,0.90,0.01,-46.81
50,100,0.90,1.00,0.20,-51.32
50,500,0.90,0.90,0.20,-52.90
100,500,0.10,0.80,0.10,-46.00
50,100,0.90,1.00,0.05,-51.33
50,100,0.90,1.00,0.01,-51.12
50,500,0.90,0.90,0.05,-51.34
100,500,0.10,0.80,0.20,-48.37
50,100,0.90,0.80,0.10,-51.02
500,50,0.30,1.00,0.10,-49.09
