Poblacion,Generaciones,Greedy,Cruce,Mutacion,Fitness,Tiempo_de_ejecucion_en_ms
50,500,0.5,0.8,0.01,-45.650735219880765,12432
50,50,0.3,0.7,0.05,-42.86868665997268,3145
100,100,0.3,0.7,0.01,-44.59386075705054,7689
50,50,0.3,0.7,0.01,-43.46701226998653,3055
100,200,0.3,0.9,0.2,-46.39107862779361,10711
50,50,0.1,0.9,0.1,-41.90372177905296,1521
200,200,0.9,0.9,0.05,-53.85744159897348,36859
100,100,0.1,0.9,0.1,-42.58425388873464,4803
50,50,0.1,0.9,0.2,-40.3381897992479,1565
50,50,0.1,0.9,0.05,-39.935801296352096,1433
50,50,0.1,0.9,0.01,-39.50175640653377,1895
50,500,0.5,0.7,0.1,-47.556154386792855,10795
100,100,0.1,0.9,0.2,-44.903411613627696,4773
50,50,0.1,1.0,0.1,-45.386710270642915,1611
50,50,0.1,1.0,0.2,-41.693591686797056,1675
50,50,0.1,1.0,0.05,-42.80417496383815,1521
500,50,0.5,0.8,0.01,-50.30252372755202,50256
100,200,0.3,0.9,0.05,-45.36179229189499,11110
100,100,0.1,0.9,0.05,-46.74560260297502,5053
50,50,0.1,1.0,0.01,-42.41206014879916,1666
50,50,0.1,0.8,0.1,-41.18165319706576,1477
50,50,0.1,0.8,0.2,-41.66723515484046,1798
500,100,0.5,0.8,0.2,-52.651829426895446,60825
100,100,0.1,0.9,0.01,-45.59358539742859,4833
50,50,0.1,0.8,0.05,-41.36124211495446,1497
50,500,0.5,0.7,0.2,-47.91350784562968,10839
50,50,0.1,0.8,0.01,-41.39000900362987,1477
50,50,0.1,0.7,0.1,-38.719707383896406,1453
100,100,0.1,1.0,0.1,-46.824175469955506,4562
50,50,0.1,0.7,0.2,-42.222774794066424,1355
100,200,0.3,0.9,0.01,-44.339024502097026,10176
50,50,0.1,0.7,0.05,-41.32267821746049,1323
50,50,0.1,0.7,0.01,-39.38368561734525,1463
100,100,0.1,1.0,0.2,-43.691540726777184,4492
50,500,0.5,0.7,0.05,-47.582080493913125,9574
100,100,0.1,1.0,0.05,-45.66048761722189,5587
500,200,0.5,1.0,0.01,-51.098900418373915,81643
100,200,0.3,1.0,0.1,-45.351423171456354,10488
50,500,0.3,0.9,0.1,-46.25034338831203,9637
100,100,0.1,1.0,0.01,-47.192603128216525,5106
50,500,0.5,0.7,0.01,-45.44757325690833,11080
200,200,0.9,0.9,0.01,-52.03379238631199,38948
100,100,0.1,0.8,0.1,-44.20511930938542,4409
100,200,0.3,1.0,0.2,-49.37552093206794,10388
50,500,0.3,0.9,0.2,-45.78185864184,9057
100,100,0.1,0.8,0.2,-43.74312449019413,4172
100,100,0.1,0.8,0.05,-46.133988363893714,4168
50,500,0.9,0.9,0.1,-51.3337816871326,12383
50,500,0.3,0.9,0.05,-44.73084902935608,8584
100,200,0.3,1.0,0.05,-45.79749758520083,9642
100,100,0.1,0.8,0.01,-43.36048543867364,4222
500,50,0.5,0.7,0.1,-51.23069677007562,45760
100,100,0.1,0.7,0.1,-45.08023197388889,4204
50,500,0.3,0.9,0.01,-43.08397030236284,8865
100,100,0.1,0.7,0.2,-43.52283531407157,4228
100,200,0.3,1.0,0.01,-45.26081009464859,9751
50,500,0.9,0.9,0.2,-51.90437378114695,12476
100,100,0.1,0.7,0.05,-43.071935482586795,4154
50,500,0.3,1.0,0.1,-46.70154517560831,8656
100,100,0.1,0.7,0.01,-43.24255788677984,4569
500,100,0.5,0.8,0.05,-49.906168364692114,54393
100,200,0.3,0.8,0.1,-45.38316952845525,9856
50,500,0.9,0.9,0.05,-51.23100088448303,13159
200,200,0.9,1.0,0.1,-54.79848668851619,36153
50,500,0.3,1.0,0.2,-48.970348524678116,8874
100,50,0.5,0.9,0.1,-46.10513221511573,8810
100,200,0.3,0.8,0.2,-45.46631190272208,9630
50,500,0.9,0.9,0.01,-51.3418267207389,11597
50,500,0.3,1.0,0.05,-45.8866707945329,9924
100,50,0.5,0.9,0.2,-47.22149972906873,9312
100,200,0.3,0.8,0.05,-47.12036996990092,11507
50,500,0.3,1.0,0.01,-43.76652314874265,9647
100,50,0.5,0.9,0.05,-46.7655922589008,9502
500,50,0.5,0.7,0.2,-50.063676620315334,42569
500,200,0.5,0.8,0.1,-51.981788410363436,68526
50,500,0.9,1.0,0.1,-52.00616406707882,14229
100,200,0.3,0.8,0.01,-47.852776573316895,10490
50,500,0.3,0.8,0.1,-45.2508485938771,8788
100,50,0.5,0.9,0.01,-47.608269855608675,8878
100,200,0.3,0.7,0.1,-46.07808384210667,10352
50,500,0.9,1.0,0.2,-51.96166066132747,13158
50,500,0.3,0.8,0.2,-46.32196727702523,8846
200,200,0.9,1.0,0.2,-54.662540854297,39113
100,50,0.5,1.0,0.1,-48.075198993075595,8927
500,100,0.5,0.8,0.01,-47.234017999347735,46538
100,200,0.3,0.7,0.2,-47.200192890905996,9382
50,500,0.3,0.8,0.05,-44.08196525672332,8481
100,50,0.5,1.0,0.2,-47.350800677883925,8547
50,500,0.9,1.0,0.05,-51.71911203472412,12627
50,500,0.3,0.8,0.01,-42.74667345771373,8305
100,200,0.3,0.7,0.05,-45.967324814677504,9324
100,50,0.5,1.0,0.05,-46.83464909192737,8465
50,500,0.3,0.7,0.1,-45.1113168615418,8358
50,500,0.9,1.0,0.01,-51.192181581920764,12714
100,50,0.5,1.0,0.01,-47.435248742490955,9007
100,200,0.3,0.7,0.01,-46.66364760471702,9883
500,50,0.5,0.7,0.05,-50.349786701945874,44732
50,500,0.3,0.7,0.2,-45.849255160097556,9191
100,50,0.5,0.8,0.1,-46.17114188560636,7506
100,200,0.1,0.9,0.1,-44.77290846946932,7709
200,200,0.9,1.0,0.05,-51.90271930997224,37049
50,500,0.9,0.8,0.1,-51.61323709731555,13134
100,200,0.1,0.9,0.2,-43.89230106233113,7261
50,500,0.3,0.7,0.05,-42.918770918899796,8760
100,50,0.5,0.8,0.2,-47.84975965242669,8904
100,200,0.1,0.9,0.05,-45.36881339557385,7074
50,500,0.9,0.8,0.2,-51.71536261287151,12892
50,500,0.3,0.7,0.01,-43.882195511567375,8714
100,50,0.5,0.8,0.05,-46.55128721747558,8939
500,100,0.5,0.7,0.1,-50.2042558470069,52983
100,200,0.1,0.9,0.01,-43.967687090870506,7387
500,200,0.5,0.8,0.2,-53.82561279778002,72663
50,500,0.1,0.9,0.1,-46.0239569356154,7424
100,50,0.5,0.8,0.01,-47.51778062187345,8898
100,200,0.1,1.0,0.1,-47.17900993778868,7510
50,500,0.9,0.8,0.05,-51.646009573005834,13378
50,500,0.1,0.9,0.2,-48.68542457847969,7647
100,50,0.5,0.7,0.1,-45.79629734855419,9524
200,200,0.9,1.0,0.01,-53.21888274110148,33789
100,200,0.1,1.0,0.2,-47.36226442399082,9268
50,500,0.1,0.9,0.05,-41.71179480510529,8822
500,50,0.5,0.7,0.01,-49.17690047155173,47982
50,500,0.9,0.8,0.01,-51.16919139080043,15101
100,50,0.5,0.7,0.2,-46.04052880988502,9561
100,200,0.1,1.0,0.05,-44.78171478474641,8226
50,500,0.1,0.9,0.01,-39.714810578001014,7424
100,50,0.5,0.7,0.05,-47.7136885953522,8281
100,200,0.1,1.0,0.01,-47.17980918286372,6855
50,500,0.1,1.0,0.1,-43.339838393777015,7134
50,500,0.9,0.7,0.1,-51.716280378180585,12525
100,200,0.1,0.8,0.1,-44.79773465508434,6380
100,50,0.5,0.7,0.01,-46.56670398974696,7749
50,500,0.1,1.0,0.2,-45.603322941992054,6677
100,200,0.1,0.8,0.2,-45.5856315056369,8012
50,500,0.1,1.0,0.05,-42.77011812593825,8278
50,500,0.9,0.7,0.2,-52.37745359893436,14546
500,100,0.5,0.7,0.2,-51.6558888307139,52867
100,200,0.1,0.8,0.05,-44.754563265786146,7665
200,200,0.9,0.8,0.1,-53.09107682220851,39452
100,50,0.9,0.9,0.1,-51.423174251964554,15530
50,500,0.1,1.0,0.01,-41.7940406397811,8020
100,200,0.1,0.8,0.01,-44.62625078028896,7010
50,500,0.9,0.7,0.05,-51.39426379710426,12603
50,500,0.1,0.8,0.1,-43.64164887696554,7123
100,200,0.1,0.7,0.1,-43.34024561158924,5934
500,200,0.5,0.8,0.05,-51.603414968135304,67420
100,50,0.9,0.9,0.2,-51.13458280926606,15200
50,500,0.1,0.8,0.2,-46.30762750681376,7473
100,200,0.1,0.7,0.2,-46.13722858244899,7051
50,500,0.9,0.7,0.01,-51.41303097565644,12990
50,500,0.1,0.8,0.05,-40.60791699282739,6759
100,200,0.1,0.7,0.05,-41.907696533907284,7317
50,500,0.1,0.7,0.1,-42.382430512692466,7334
100,50,0.9,0.9,0.05,-51.127103243585516,14270
50,500,0.1,0.8,0.01,-43.76725539175981,7215
100,200,0.1,0.7,0.01,-44.045596681827746,7396
50,500,0.1,0.7,0.2,-43.13899929334573,7197
50,500,0.1,0.7,0.05,-40.914708096250195,6909
200,200,0.9,0.8,0.2,-52.54621101640189,37719
500,50,0.9,0.9,0.1,-52.75609769250133,76125
50,500,0.1,0.7,0.01,-40.89596699255018,7008
100,50,0.9,0.9,0.01,-51.23983140171198,14296
500,100,0.5,0.7,0.05,-49.07039600293176,55568
100,500,0.5,0.9,0.1,-48.92279724580887,21070
100,50,0.9,1.0,0.1,-51.5602383931988,13579
100,500,0.3,0.9,0.1,-47.14798577907102,19163
100,50,0.9,1.0,0.2,-51.46541675015019,15417
200,200,0.9,0.8,0.05,-51.78562898462352,39623
100,500,0.3,0.9,0.2,-49.663724050993636,18150
100,500,0.5,0.9,0.2,-50.881906302831766,24898
500,200,0.5,0.8,0.01,-51.03276605087656,75054
100,50,0.9,1.0,0.05,-52.6631588432645,18357
100,500,0.3,0.9,0.05,-47.69524487736616,21637
100,500,0.5,0.9,0.05,-47.425170712129464,25356
500,100,0.5,0.7,0.01,-50.56071850318745,53259
500,50,0.9,0.9,0.2,-54.10499080717521,67432
100,50,0.9,1.0,0.01,-51.43123727579744,17579
200,200,0.9,0.8,0.01,-51.45271357472236,42458
100,500,0.3,0.9,0.01,-44.6336626462757,20032
100,50,0.9,0.8,0.1,-52.218241984327484,14551
100,500,0.5,0.9,0.01,-49.05055853385416,22235
100,50,0.9,0.8,0.2,-51.89881153919877,14478
100,500,0.3,1.0,0.1,-48.53978140936453,18706
100,500,0.5,1.0,0.1,-48.65921069156484,23003
100,50,0.9,0.8,0.05,-50.93842956727153,16041
200,200,0.9,0.7,0.1,-52.47366636168241,41691
500,500,0.5,0.9,0.1,-54.53009366057702,120041
100,500,0.3,1.0,0.2,-50.99209040903827,28366
100,50,0.9,0.8,0.01,-51.13060524487916,15632
500,200,0.5,0.7,0.1,-52.80266965460488,81967
100,500,0.5,1.0,0.2,-50.496211926959944,32330
100,50,0.9,0.7,0.1,-51.625083752767814,16907
500,50,0.9,0.9,0.05,-52.4607481215537,83363
100,500,0.3,1.0,0.05,-45.79798001036456,27562
200,200,0.9,0.7,0.2,-52.17072061639034,41656
500,100,0.9,0.9,0.1,-52.153360662663175,99600
100,50,0.9,0.7,0.2,-53.55979606296074,19082
100,500,0.5,1.0,0.05,-49.20027826026421,34428
100,500,0.3,1.0,0.01,-47.17576444819757,21662
100,50,0.9,0.7,0.05,-51.15060509188313,19666
100,500,0.3,0.8,0.1,-45.78860627370296,21069
100,50,0.9,0.7,0.01,-51.5328999168205,17768
200,200,0.9,0.7,0.05,-51.46561510900965,41017
100,500,0.5,1.0,0.01,-47.79466931588394,29038
100,50,0.3,0.9,0.1,-45.00642876499517,7127
100,50,0.3,0.9,0.2,-46.33864639805781,6603
100,500,0.3,0.8,0.2,-47.495315424011196,22341
100,50,0.3,0.9,0.05,-46.2282526431207,7416
500,200,0.5,0.7,0.2,-52.89859720566766,97129
100,50,0.3,0.9,0.01,-45.88079194766834,6530
100,500,0.5,0.8,0.1,-48.81280616608333,26157
100,50,0.3,1.0,0.1,-47.84311843941654,6575
500,50,0.9,0.9,0.01,-54.409332721229944,90294
100,500,0.3,0.8,0.05,-46.74021914574068,22009
100,50,0.3,1.0,0.2,-46.51366477882427,7453
200,200,0.9,0.7,0.01,-51.17318613998501,41262
500,100,0.9,0.9,0.2,-54.50785621557818,82891
100,50,0.3,1.0,0.05,-45.18711158337381,7243
100,500,0.5,0.8,0.2,-51.3403467169515,20926
100,50,0.3,1.0,0.01,-46.380860918233104,6043
100,500,0.3,0.8,0.01,-45.97230594241315,19989
100,50,0.3,0.8,0.1,-44.73687369566407,5993
200,200,0.3,0.9,0.1,-48.10556875315631,22783
100,50,0.3,0.8,0.2,-43.21514527584205,6071
100,500,0.5,0.8,0.05,-48.61232088993623,21809
100,50,0.3,0.8,0.05,-44.60925512224841,6633
500,500,0.5,0.9,0.2,-55.417992489911065,155452
100,500,0.3,0.7,0.1,-46.197468525070555,18398
100,50,0.3,0.8,0.01,-45.06782635340061,5806
100,50,0.3,0.7,0.1,-44.11096342533709,6284
200,200,0.3,0.9,0.2,-48.56107900230284,21648
100,50,0.3,0.7,0.2,-44.46361619210333,5878
100,500,0.5,0.8,0.01,-46.2932639782695,20821
100,500,0.3,0.7,0.2,-47.84169963990864,17771
100,50,0.3,0.7,0.05,-46.252739137537155,5756
500,200,0.5,0.7,0.05,-49.644478854969364,76248
100,50,0.3,0.7,0.01,-43.957270485434165,5630
100,50,0.1,0.9,0.1,-44.41065230081028,3519
200,200,0.3,0.9,0.05,-47.47285681409574,21488
100,50,0.1,0.9,0.2,-42.0448828938121,4830
100,50,0.1,0.9,0.05,-43.57933003470892,5567
100,500,0.5,0.7,0.1,-49.00906885732581,25531
100,500,0.3,0.7,0.05,-45.80071010983215,23159
100,50,0.1,0.9,0.01,-43.88892528907017,3696
500,50,0.9,1.0,0.1,-53.3525138884976,83433
100,50,0.1,1.0,0.1,-42.288598460549615,3318
100,50,0.1,1.0,0.2,-42.963082793629994,4188
100,50,0.1,1.0,0.05,-43.46956773662368,3448
500,100,0.9,0.9,0.05,-52.35450848317532,86975
200,200,0.3,0.9,0.01,-47.02718677473126,25468
