Poblacion,Generaciones,Greedy,Cruce,Mutacion,Fitness
50,200,0.50,0.90,0.10,-47.42
200,50,0.10,0.90,0.10,-47.49
200,50,0.30,0.90,0.10,-48.40
100,200,0.50,0.90,0.10,-46.75
50,200,0.50,0.90,0.20,-48.43
200,50,0.10,0.90,0.20,-45.65
200,50,0.50,0.90,0.10,-49.02
200,100,0.50,0.90,0.10,-47.80
50,200,0.50,0.90,0.05,-46.43
200,50,0.10,0.90,0.05,-46.93
200,50,0.30,0.90,0.20,-46.53
100,200,0.50,0.90,0.20,-48.67
200,200,0.50,0.90,0.10,-48.33
50,200,0.50,0.90,0.01,-45.82
200,50,0.10,0.90,0.01,-46.59
50,200,0.50,1.00,0.10,-49.80
200,50,0.10,1.00,0.10,-46.59
200,50,0.30,0.90,0.05,-47.28
200,100,0.50,0.90,0.20,-49.86
100,200,0.50,0.90,0.05,-47.67
200,50,0.50,0.90,0.20,-48.79
50,200,0.50,1.00,0.20,-47.17
200,50,0.10,1.00,0.20,-45.17
50,200,0.50,1.00,0.05,-46.25
200,50,0.30,0.90,0.01,-44.93
200,50,0.10,1.00,0.05,-47.47
200,200,0.50,0.90,0.20,-48.01
100,200,0.50,0.90,0.01,-47.78
50,200,0.50,1.00,0.01,-47.40
200,50,0.10,1.00,0.01,-48.51
200,50,0.50,0.90,0.05,-48.05
200,100,0.50,0.90,0.05,-48.40
50,200,0.50,0.80,0.10,-46.23
200,50,0.30,1.00,0.10,-47.11
200,50,0.10,0.80,0.10,-46.59
100,200,0.50,1.00,0.10,-46.54
500,200,0.50,0.90,0.10,-51.24
50,200,0.50,0.80,0.20,-48.61
200,50,0.10,0.80,0.20,-44.49
200,50,0.30,1.00,0.20,-45.87
200,50,0.50,0.90,0.01,-47.93
50,200,0.50,0.80,0.05,-47.74
200,50,0.10,0.80,0.05,-45.31
200,200,0.50,0.90,0.05,-49.41
100,200,0.50,1.00,0.20,-48.75
200,100,0.50,0.90,0.01,-50.18
50,200,0.50,0.80,0.01,-45.39
200,50,0.10,0.80,0.01,-44.15
50,200,0.50,0.70,0.10,-46.62
200,50,0.30,1.00,0.05,-49.32
200,50,0.10,0.70,0.10,-43.22
200,50,0.50,1.00,0.10,-48.81
100,200,0.50,1.00,0.05,-46.74
50,200,0.50,0.70,0.20,-47.81
200,50,0.10,0.70,0.20,-46.02
50,200,0.50,0.70,0.05,-46.12
200,50,0.30,1.00,0.01,-45.91
200,100,0.50,1.00,0.10,-48.08
200,200,0.50,0.90,0.01,-47.56
200,50,0.10,0.70,0.05,-44.36
50,200,0.50,0.70,0.01,-46.68
100,200,0.50,1.00,0.01,-46.81
200,50,0.10,0.70,0.01,-43.87
200,50,0.50,1.00,0.20,-49.66
200,50,0.30,0.80,0.10,-45.89
50,200,0.90,0.90,0.10,-51.62
100,200,0.50,0.80,0.10,-47.16
200,50,0.30,0.70,0.10,-44.87
50,200,0.90,0.90,0.20,-51.97
200,50,0.30,0.80,0.20,-46.10
200,100,0.50,1.00,0.20,-50.71
200,200,0.50,1.00,0.10,-50.09
200,50,0.50,1.00,0.05,-51.36
500,200,0.50,0.90,0.20,-52.53
50,200,0.90,0.90,0.05,-51.52
100,200,0.50,0.80,0.20,-50.19
200,50,0.30,0.70,0.20,-47.21
200,50,0.30,0.80,0.05,-49.61
50,200,0.90,0.90,0.01,-51.73
100,200,0.50,0.80,0.05,-47.36
200,100,0.50,1.00,0.05,-47.95
200,50,0.30,0.80,0.01,-46.56
200,50,0.30,0.70,0.05,-44.41
200,50,0.50,1.00,0.01,-48.10
50,200,0.90,1.00,0.10,-51.07
200,200,0.50,1.00,0.20,-51.89
100,200,0.50,0.80,0.01,-46.70
200,50,0.30,0.70,0.01,-45.30
50,200,0.90,1.00,0.20,-52.33
50,100,0.50,0.90,0.10,-46.31
200,50,0.50,0.80,0.10,-49.25
200,100,0.50,1.00,0.01,-48.94
50,100,0.50,0.90,0.20,-48.09
50,200,0.90,1.00,0.05,-50.95
100,200,0.50,0.70,0.10,-49.30
50,100,0.50,0.90,0.05,-45.89
50,100,0.50,0.90,0.01,-45.98
50,200,0.90,1.00,0.01,-51.24
200,50,0.50,0.80,0.20,-49.72
100,200,0.50,0.70,0.20,-47.36
50,100,0.50,1.00,0.10,-46.91
200,200,0.50,1.00,0.05,-48.05
200,100,0.50,0.80,0.10,-48.00
200,50,0.90,0.90,0.10,-53.79
50,200,0.90,0.80,0.10,-51.10
50,100,0.50,1.00,0.20,-46.70
500,200,0.50,0.90,0.05,-52.19
50,100,0.50,1.00,0.05,-47.21
100,200,0.50,0.70,0.05,-47.15
50,200,0.90,0.80,0.20,-51.78
50,100,0.50,1.00,0.01,-46.70
200,50,0.50,0.80,0.05,-49.83
50,100,0.50,0.80,0.10,-46.10
50,200,0.90,0.80,0.05,-51.02
200,100,0.50,0.80,0.20,-50.04
50,100,0.50,0.80,0.20,-45.80
100,200,0.50,0.70,0.01,-47.00
200,200,0.50,1.00,0.01,-52.05
50,100,0.50,0.80,0.05,-49.41
50,200,0.90,0.80,0.01,-51.09
200,50,0.90,0.90,0.20,-52.70
200,50,0.50,0.80,0.01,-47.01
50,100,0.50,0.80,0.01,-45.96
50,200,0.90,0.70,0.10,-51.20
50,100,0.50,0.70,0.10,-49.23
100,200,0.90,0.90,0.10,-51.55
200,100,0.50,0.80,0.05,-46.72
50,100,0.50,0.70,0.20,-48.85
50,200,0.90,0.70,0.20,-52.55
200,50,0.50,0.70,0.10,-47.52
50,100,0.50,0.70,0.05,-45.29
200,200,0.50,0.80,0.10,-49.05
200,50,0.90,0.90,0.05,-51.36
50,100,0.50,0.70,0.01,-45.80
50,200,0.90,0.70,0.05,-52.40
