Poblacion,Generaciones,Greedy,Cruce,Mutacion,Fitness
50,50,0.50,0.90,0.10,-46.00
50,100,0.50,0.90,0.10,-47.33
50,200,0.50,0.90,0.10,-47.62
50,50,0.50,0.90,0.20,-47.07
100,100,0.50,0.90,0.10,-46.99
50,100,0.50,0.90,0.20,-48.21
50,500,0.50,0.90,0.10,-47.24
100,200,0.50,0.90,0.10,-50.08
50,200,0.50,0.90,0.20,-48.21
50,50,0.50,0.90,0.05,-46.35
50,100,0.50,0.90,0.05,-46.16
50,50,0.50,0.90,0.01,-46.17
50,200,0.50,0.90,0.05,-46.09
100,100,0.50,0.90,0.20,-47.22
50,100,0.50,0.90,0.01,-45.89
50,500,0.50,0.90,0.20,-49.68
50,50,0.50,1.00,0.10,-47.02
50,100,0.50,1.00,0.10,-46.63
100,200,0.50,0.90,0.20,-48.79
200,200,0.50,0.90,0.10,-48.77
50,200,0.50,0.90,0.01,-46.27
50,50,0.50,1.00,0.20,-47.70
100,100,0.50,0.90,0.05,-46.20
50,100,0.50,1.00,0.20,-47.21
50,50,0.50,1.00,0.05,-47.40
50,500,0.50,0.90,0.05,-49.59
50,200,0.50,1.00,0.10,-47.12
50,50,0.50,1.00,0.01,-46.39
50,100,0.50,1.00,0.05,-47.46
100,200,0.50,0.90,0.05,-49.29
50,200,0.50,1.00,0.20,-47.06
50,50,0.50,0.80,0.10,-46.48
50,100,0.50,1.00,0.01,-46.26
100,100,0.50,0.90,0.01,-48.71
50,500,0.50,0.90,0.01,-46.18
50,50,0.50,0.80,0.20,-46.04
50,200,0.50,1.00,0.05,-47.86
50,100,0.50,0.80,0.10,-48.49
50,50,0.50,0.80,0.05,-46.21
100,200,0.50,0.90,0.01,-46.88
100,100,0.50,1.00,0.10,-46.78
50,100,0.50,0.80,0.20,-46.41
50,200,0.50,1.00,0.01,-45.97
50,500,0.50,1.00,0.10,-48.93
50,50,0.50,0.80,0.01,-46.05
200,200,0.50,0.90,0.20,-51.14
50,100,0.50,0.80,0.05,-46.50
50,50,0.50,0.70,0.10,-47.47
50,200,0.50,0.80,0.10,-47.45
50,100,0.50,0.80,0.01,-45.58
100,100,0.50,1.00,0.20,-49.56
50,50,0.50,0.70,0.20,-47.09
50,500,0.50,1.00,0.20,-47.59
100,200,0.50,1.00,0.10,-49.19
50,200,0.50,0.80,0.20,-47.22
50,50,0.50,0.70,0.05,-48.22
50,100,0.50,0.70,0.10,-48.52
50,200,0.50,0.80,0.05,-46.69
50,50,0.50,0.70,0.01,-46.30
50,100,0.50,0.70,0.20,-46.87
100,100,0.50,1.00,0.05,-47.64
50,500,0.50,1.00,0.05,-48.04
500,200,0.50,0.90,0.10,-51.59
50,100,0.50,0.70,0.05,-45.49
100,200,0.50,1.00,0.20,-49.59
50,200,0.50,0.80,0.01,-45.57
50,50,0.90,0.90,0.10,-50.94
200,200,0.50,0.90,0.05,-48.96
50,100,0.50,0.70,0.01,-46.07
100,100,0.50,1.00,0.01,-46.09
50,500,0.50,1.00,0.01,-46.65
50,200,0.50,0.70,0.10,-49.35
50,50,0.90,0.90,0.20,-51.11
50,100,0.90,0.90,0.10,-53.04
50,200,0.50,0.70,0.20,-49.79
100,200,0.50,1.00,0.05,-48.41
100,100,0.50,0.80,0.10,-47.92
50,50,0.90,0.90,0.05,-51.87
50,500,0.50,0.80,0.10,-49.09
50,200,0.50,0.70,0.05,-46.25
50,100,0.90,0.90,0.20,-51.62
50,50,0.90,0.90,0.01,-51.10
50,200,0.50,0.70,0.01,-46.45
100,100,0.50,0.80,0.20,-47.79
100,200,0.50,1.00,0.01,-47.90
50,500,0.50,0.80,0.20,-48.90
200,200,0.50,0.90,0.01,-47.60
50,100,0.90,0.90,0.05,-51.07
50,50,0.90,1.00,0.10,-50.97
50,200,0.90,0.90,0.10,-51.27
100,100,0.50,0.80,0.05,-47.09
50,100,0.90,0.90,0.01,-51.28
50,500,0.50,0.80,0.05,-47.13
50,50,0.90,1.00,0.20,-51.30
100,200,0.50,0.80,0.10,-48.05
50,50,0.90,1.00,0.05,-50.83
50,200,0.90,0.90,0.20,-51.92
50,100,0.90,1.00,0.10,-51.20
100,100,0.50,0.80,0.01,-48.11
50,500,0.50,0.80,0.01,-47.14
50,50,0.90,1.00,0.01,-51.51
100,200,0.50,0.80,0.20,-49.95
50,100,0.90,1.00,0.20,-51.41
50,200,0.90,0.90,0.05,-51.30
200,200,0.50,1.00,0.10,-51.76
100,100,0.50,0.70,0.10,-46.44
50,500,0.50,0.70,0.10,-47.39
50,50,0.90,0.80,0.10,-51.25
50,100,0.90,1.00,0.05,-50.94
50,200,0.90,0.90,0.01,-51.30
100,200,0.50,0.80,0.05,-49.27
50,50,0.90,0.80,0.20,-50.97
100,100,0.50,0.70,0.20,-49.00
50,500,0.50,0.70,0.20,-48.15
50,100,0.90,1.00,0.01,-50.86
50,200,0.90,1.00,0.10,-51.11
500,200,0.50,0.90,0.20,-51.38
50,50,0.90,0.80,0.05,-51.34
100,100,0.50,0.70,0.05,-46.34
50,100,0.90,0.80,0.10,-51.19
50,500,0.50,0.70,0.05,-46.36
100,200,0.50,0.80,0.01,-46.13
50,50,0.90,0.80,0.01,-51.03
50,200,0.90,1.00,0.20,-52.46
200,200,0.50,1.00,0.20,-50.50
50,100,0.90,0.80,0.20,-51.13
100,100,0.50,0.70,0.01,-46.32
50,50,0.90,0.70,0.10,-50.92
50,500,0.50,0.70,0.01,-45.62
50,200,0.90,1.00,0.05,-51.20
100,200,0.50,0.70,0.10,-46.94
50,100,0.90,0.80,0.05,-51.27
50,50,0.90,0.70,0.20,-51.81
50,200,0.90,1.00,0.01,-50.98
50,100,0.90,0.80,0.01,-50.86
50,500,0.90,0.90,0.10,-52.07
50,50,0.90,0.70,0.05,-50.77
100,100,0.90,0.90,0.10,-52.13
100,200,0.50,0.70,0.20,-48.53
50,200,0.90,0.80,0.10,-51.91
50,100,0.90,0.70,0.10,-50.98
50,50,0.90,0.70,0.01,-50.94
200,200,0.50,1.00,0.05,-48.65
50,50,0.30,0.90,0.10,-43.78
50,500,0.90,0.90,0.20,-52.39
50,50,0.30,0.90,0.20,-45.39
50,100,0.90,0.70,0.20,-51.18
50,200,0.90,0.80,0.20,-51.30
100,200,0.50,0.70,0.05,-47.08
50,50,0.30,0.90,0.05,-43.22
100,100,0.90,0.90,0.20,-51.47
50,50,0.30,0.90,0.01,-42.42
50,50,0.30,1.00,0.10,-46.00
50,100,0.90,0.70,0.05,-50.94
50,200,0.90,0.80,0.05,-51.07
50,50,0.30,1.00,0.20,-45.99
50,500,0.90,0.90,0.05,-51.92
50,50,0.30,1.00,0.05,-44.49
100,200,0.50,0.70,0.01,-46.65
50,100,0.90,0.70,0.01,-50.82
50,50,0.30,1.00,0.01,-43.27
100,100,0.90,0.90,0.05,-51.40
50,200,0.90,0.80,0.01,-52.17
50,50,0.30,0.80,0.10,-42.94
50,100,0.30,0.90,0.10,-43.61
200,200,0.50,1.00,0.01,-48.75
50,50,0.30,0.80,0.20,-42.43
50,100,0.30,0.90,0.20,-45.14
50,500,0.90,0.90,0.01,-50.92
50,50,0.30,0.80,0.05,-42.51
50,100,0.30,0.90,0.05,-43.94
50,50,0.30,0.80,0.01,-43.31
50,200,0.90,0.70,0.10,-51.05
500,200,0.50,0.90,0.05,-52.29
100,100,0.90,0.90,0.01,-51.44
50,100,0.30,0.90,0.01,-43.29
50,50,0.30,0.70,0.10,-42.47
100,200,0.90,0.90,0.10,-51.64
50,50,0.30,0.70,0.20,-44.46
50,100,0.30,1.00,0.10,-43.73
50,50,0.30,0.70,0.05,-43.22
50,200,0.90,0.70,0.20,-51.52
50,100,0.30,1.00,0.20,-47.12
50,500,0.90,1.00,0.10,-53.71
50,50,0.30,0.70,0.01,-45.15
50,50,0.10,0.90,0.10,-41.38
