Poblacion,Generaciones,Greedy,Cruce,Mutacion,Fitness
50,200,0.50,0.90,0.10,-46.61
100,200,0.50,0.90,0.10,-47.13
50,200,0.50,0.90,0.20,-48.47
200,50,0.50,0.90,0.10,-50.74
50,200,0.50,0.90,0.05,-46.56
200,100,0.50,0.90,0.10,-48.70
100,200,0.50,0.90,0.20,-51.43
200,200,0.50,0.90,0.10,-49.77
50,200,0.50,0.90,0.01,-49.08
50,200,0.50,1.00,0.10,-46.94
200,50,0.50,0.90,0.20,-49.23
100,200,0.50,0.90,0.05,-48.24
50,200,0.50,1.00,0.20,-46.86
200,100,0.50,0.90,0.20,-49.33
200,500,0.50,0.90,0.10,-52.58
50,200,0.50,1.00,0.05,-46.38
100,200,0.50,0.90,0.01,-47.63
50,200,0.50,1.00,0.01,-45.94
200,50,0.50,0.90,0.05,-47.56
200,200,0.50,0.90,0.20,-50.23
500,100,0.50,0.90,0.10,-50.31
50,200,0.50,0.80,0.10,-47.10
200,100,0.50,0.90,0.05,-49.76
100,200,0.50,1.00,0.10,-47.90
50,200,0.50,0.80,0.20,-47.65
200,50,0.50,0.90,0.01,-49.94
50,200,0.50,0.80,0.05,-48.34
500,200,0.50,0.90,0.10,-51.94
100,200,0.50,1.00,0.20,-48.50
50,200,0.50,0.80,0.01,-46.38
200,200,0.50,0.90,0.05,-51.69
200,100,0.50,0.90,0.01,-48.85
50,200,0.50,0.70,0.10,-47.11
200,500,0.50,0.90,0.20,-50.81
100,200,0.50,1.00,0.05,-47.48
200,50,0.50,1.00,0.10,-48.55
50,200,0.50,0.70,0.20,-46.80
50,200,0.50,0.70,0.05,-46.50
100,200,0.50,1.00,0.01,-47.07
50,200,0.50,0.70,0.01,-45.93
200,100,0.50,1.00,0.10,-49.22
200,200,0.50,0.90,0.01,-51.12
200,50,0.50,1.00,0.20,-47.57
500,100,0.50,0.90,0.20,-51.94
50,200,0.90,0.90,0.10,-51.51
100,200,0.50,0.80,0.10,-49.52
50,200,0.90,0.90,0.20,-51.81
200,50,0.50,1.00,0.05,-49.44
200,100,0.50,1.00,0.20,-49.77
100,200,0.50,0.80,0.20,-47.56
50,200,0.90,0.90,0.05,-50.98
200,200,0.50,1.00,0.10,-49.54
200,500,0.50,0.90,0.05,-49.48
50,200,0.90,0.90,0.01,-51.38
100,200,0.50,0.80,0.05,-48.16
200,50,0.50,1.00,0.01,-47.10
200,100,0.50,1.00,0.05,-48.95
500,200,0.50,0.90,0.20,-52.30
50,200,0.90,1.00,0.10,-51.42
100,200,0.50,0.80,0.01,-48.05
200,200,0.50,1.00,0.20,-49.03
50,200,0.90,1.00,0.20,-51.16
200,50,0.50,0.80,0.10,-47.12
500,100,0.50,0.90,0.05,-49.53
200,100,0.50,1.00,0.01,-50.66
100,200,0.50,0.70,0.10,-47.21
50,200,0.90,1.00,0.05,-51.42
200,500,0.50,0.90,0.01,-49.17
50,200,0.90,1.00,0.01,-51.19
200,50,0.50,0.80,0.20,-47.17
100,200,0.50,0.70,0.20,-48.47
50,200,0.90,0.80,0.10,-51.75
200,200,0.50,1.00,0.05,-50.94
200,100,0.50,0.80,0.10,-49.58
100,200,0.50,0.70,0.05,-47.19
200,50,0.50,0.80,0.05,-47.67
50,200,0.90,0.80,0.20,-51.14
100,200,0.50,0.70,0.01,-48.28
50,200,0.90,0.80,0.05,-52.84
200,100,0.50,0.80,0.20,-48.56
200,200,0.50,1.00,0.01,-49.02
200,50,0.50,0.80,0.01,-48.33
50,200,0.90,0.80,0.01,-51.51
500,100,0.50,0.90,0.01,-51.00
500,200,0.50,0.90,0.05,-50.34
200,500,0.50,1.00,0.10,-51.65
100,200,0.90,0.90,0.10,-51.28
50,200,0.90,0.70,0.10,-51.03
200,100,0.50,0.80,0.05,-46.53
200,50,0.50,0.70,0.10,-47.85
50,200,0.90,0.70,0.20,-51.58
200,200,0.50,0.80,0.10,-49.68
50,200,0.90,0.70,0.05,-51.16
100,200,0.90,0.90,0.20,-52.07
200,100,0.50,0.80,0.01,-47.80
200,50,0.50,0.70,0.20,-47.90
50,200,0.90,0.70,0.01,-50.90
50,200,0.30,0.90,0.10,-44.48
100,200,0.90,0.90,0.05,-51.19
50,200,0.30,0.90,0.20,-45.79
200,200,0.50,0.80,0.20,-49.21
50,200,0.30,0.90,0.05,-44.46
200,500,0.50,1.00,0.20,-51.19
200,50,0.50,0.70,0.05,-47.18
200,100,0.50,0.70,0.10,-47.03
500,100,0.50,1.00,0.10,-51.89
50,200,0.30,0.90,0.01,-43.69
50,200,0.30,1.00,0.10,-45.76
100,200,0.90,0.90,0.01,-51.20
50,200,0.30,1.00,0.20,-44.77
200,50,0.50,0.70,0.01,-48.77
50,200,0.30,1.00,0.05,-44.32
200,100,0.50,0.70,0.20,-47.83
500,200,0.50,0.90,0.01,-49.38
50,200,0.30,1.00,0.01,-45.15
200,200,0.50,0.80,0.05,-48.02
50,200,0.30,0.80,0.10,-42.77
100,200,0.90,1.00,0.10,-51.32
50,200,0.30,0.80,0.20,-45.11
50,200,0.30,0.80,0.05,-46.04
200,100,0.50,0.70,0.05,-49.63
200,500,0.50,1.00,0.05,-49.70
50,200,0.30,0.80,0.01,-42.99
200,50,0.90,0.90,0.10,-51.30
100,200,0.90,1.00,0.20,-52.19
50,200,0.30,0.70,0.10,-43.69
200,200,0.50,0.80,0.01,-48.06
50,200,0.30,0.70,0.20,-46.64
500,100,0.50,1.00,0.20,-51.29
50,200,0.30,0.70,0.05,-42.50
200,100,0.50,0.70,0.01,-47.32
50,200,0.30,0.70,0.01,-43.25
100,200,0.90,1.00,0.05,-53.39
50,200,0.10,0.90,0.10,-43.66
50,200,0.10,0.90,0.20,-43.77
50,200,0.10,0.90,0.05,-44.28
200,50,0.90,0.90,0.20,-52.27
200,200,0.50,0.70,0.10,-48.72
50,200,0.10,0.90,0.01,-40.18
50,200,0.10,1.00,0.10,-43.84
50,200,0.10,1.00,0.20,-42.88
100,200,0.90,1.00,0.01,-51.49
200,500,0.50,1.00,0.01,-49.12
50,200,0.10,1.00,0.05,-42.75
50,200,0.10,1.00,0.01,-42.46
200,100,0.90,0.90,0.10,-51.42
500,200,0.50,1.00,0.10,-54.10
50,200,0.10,0.80,0.10,-42.29
50,200,0.10,0.80,0.20,-43.28
50,200,0.10,0.80,0.05,-41.53
200,200,0.50,0.70,0.20,-50.27
100,200,0.90,0.80,0.10,-53.92
200,50,0.90,0.90,0.05,-52.00
50,200,0.10,0.80,0.01,-41.51
50,200,0.10,0.70,0.10,-42.05
500,100,0.50,1.00,0.05,-51.76
50,200,0.10,0.70,0.20,-41.61
50,200,0.10,0.70,0.05,-39.99
50,200,0.10,0.70,0.01,-41.21
