Poblacion,Generaciones,Greedy,Cruce,Mutacion,Fitness
100,200,0.90,1.00,0.05,2.10
50,200,0.10,0.90,0.05,4.50
100,500,0.50,0.70,0.01,3.38
50,200,0.10,0.90,0.01,4.58
50,200,0.10,1.00,0.10,4.35
200,200,0.50,0.70,0.10,3.22
100,100,0.90,0.80,0.01,2.16
50,200,0.10,1.00,0.20,4.36
50,200,0.10,1.00,0.05,4.45
50,200,0.10,1.00,0.01,4.61
100,200,0.90,1.00,0.01,2.15
50,200,0.10,0.80,0.10,4.46
100,100,0.90,0.70,0.10,2.12
50,200,0.10,0.80,0.20,4.33
50,200,0.10,0.80,0.05,4.51
100,500,0.90,0.90,0.10,1.99
500,200,0.50,1.00,0.10,3.10
50,200,0.10,0.80,0.01,4.59
200,200,0.50,0.70,0.20,3.16
50,200,0.10,0.70,0.10,4.47
100,200,0.90,0.80,0.10,2.09
50,200,0.10,0.70,0.20,4.33
100,100,0.90,0.70,0.20,2.11
50,200,0.10,0.70,0.05,4.54
500,500,0.50,0.90,0.05,2.92
50,200,0.10,0.70,0.01,4.63
500,100,0.50,1.00,0.05,3.29
100,200,0.90,0.80,0.20,2.05
100,500,0.90,0.90,0.20,1.94
100,100,0.90,0.70,0.05,2.14
50,500,0.50,0.90,0.10,3.18
200,200,0.50,0.70,0.05,3.24
50,500,0.50,0.90,0.20,3.09
100,100,0.90,0.70,0.01,2.15
100,200,0.90,0.80,0.05,2.10
50,500,0.50,0.90,0.05,3.28
100,100,0.30,0.90,0.10,4.00
100,500,0.90,0.90,0.05,2.10
100,100,0.30,0.90,0.20,3.88
200,200,0.50,0.70,0.01,3.34
50,500,0.50,0.90,0.01,3.41
100,200,0.90,0.80,0.01,2.14
100,100,0.30,0.90,0.05,4.03
50,500,0.50,1.00,0.10,3.17
100,100,0.30,0.90,0.01,4.01
500,100,0.50,1.00,0.01,3.38
500,200,0.50,1.00,0.20,3.05
100,100,0.30,1.00,0.10,3.96
50,500,0.50,1.00,0.20,3.08
100,500,0.90,0.90,0.01,2.13
100,200,0.90,0.70,0.10,2.04
100,100,0.30,1.00,0.20,3.88
50,500,0.50,1.00,0.05,3.32
100,100,0.30,1.00,0.05,3.99
200,200,0.90,0.90,0.10,2.04
100,200,0.90,0.70,0.20,2.06
50,500,0.50,1.00,0.01,3.40
100,100,0.30,1.00,0.01,4.04
100,500,0.90,1.00,0.10,2.02
100,100,0.30,0.80,0.10,3.97
50,500,0.50,0.80,0.10,3.20
100,100,0.30,0.80,0.20,3.91
100,200,0.90,0.70,0.05,2.10
50,500,0.50,0.80,0.20,3.08
100,100,0.30,0.80,0.05,3.96
100,100,0.30,0.80,0.01,4.04
500,100,0.50,0.80,0.10,3.25
50,500,0.50,0.80,0.05,3.30
200,200,0.90,0.90,0.20,1.99
100,500,0.90,1.00,0.20,1.92
100,200,0.90,0.70,0.01,2.12
100,100,0.30,0.70,0.10,3.94
500,500,0.50,0.90,0.01,3.11
50,500,0.50,0.80,0.01,3.46
100,100,0.30,0.70,0.20,3.95
100,200,0.30,0.90,0.10,3.84
100,100,0.30,0.70,0.05,3.97
50,500,0.50,0.70,0.10,3.24
500,200,0.50,1.00,0.05,3.20
100,200,0.30,0.90,0.20,3.75
100,100,0.30,0.70,0.01,4.01
100,500,0.90,1.00,0.05,2.08
50,500,0.50,0.70,0.20,3.09
100,100,0.10,0.90,0.10,4.51
100,200,0.30,0.90,0.05,3.90
100,100,0.10,0.90,0.20,4.44
200,200,0.90,0.90,0.05,2.09
50,500,0.50,0.70,0.05,3.29
100,100,0.10,0.90,0.05,4.45
100,200,0.30,0.90,0.01,3.99
100,100,0.10,0.90,0.01,4.55
100,100,0.10,1.00,0.10,4.38
50,500,0.50,0.70,0.01,3.39
500,100,0.50,0.80,0.20,3.23
100,100,0.10,1.00,0.20,4.38
100,200,0.30,1.00,0.10,3.82
100,500,0.90,1.00,0.01,2.14
100,100,0.10,1.00,0.05,4.45
50,500,0.90,0.90,0.10,2.07
100,100,0.10,1.00,0.01,4.56
100,200,0.30,1.00,0.20,3.80
100,100,0.10,0.80,0.10,4.46
100,100,0.10,0.80,0.20,4.42
100,200,0.30,1.00,0.05,3.89
200,200,0.90,0.90,0.01,2.12
50,500,0.90,0.90,0.20,2.00
100,100,0.10,0.80,0.05,4.59
100,500,0.90,0.80,0.10,1.99
100,100,0.10,0.80,0.01,4.61
100,200,0.30,1.00,0.01,4.04
100,100,0.10,0.70,0.10,4.52
50,500,0.90,0.90,0.05,2.08
100,100,0.10,0.70,0.20,4.43
100,100,0.10,0.70,0.05,4.56
100,200,0.30,0.80,0.10,3.88
500,200,0.50,1.00,0.01,3.33
100,100,0.10,0.70,0.01,4.59
50,500,0.90,0.90,0.01,2.15
100,200,0.30,0.80,0.20,3.75
100,500,0.90,0.80,0.20,1.92
100,50,0.50,0.90,0.10,3.42
500,100,0.50,0.80,0.05,3.30
200,200,0.90,1.00,0.10,2.03
100,200,0.30,0.80,0.05,3.91
50,500,0.90,1.00,0.10,2.10
100,50,0.50,0.90,0.20,3.37
100,200,0.30,0.80,0.01,3.98
100,50,0.50,0.90,0.05,3.44
50,500,0.90,1.00,0.20,1.97
100,500,0.90,0.80,0.05,2.07
100,200,0.30,0.70,0.10,3.87
100,50,0.50,0.90,0.01,3.44
500,500,0.50,1.00,0.10,2.73
50,500,0.90,1.00,0.05,2.07
100,50,0.50,1.00,0.10,3.43
100,200,0.30,0.70,0.20,3.82
200,200,0.90,1.00,0.20,2.02
100,50,0.50,1.00,0.20,3.44
100,200,0.30,0.70,0.05,3.90
50,500,0.90,1.00,0.01,2.16
100,500,0.90,0.80,0.01,2.14
100,50,0.50,1.00,0.05,3.41
500,100,0.50,0.80,0.01,3.39
100,200,0.30,0.70,0.01,4.04
50,500,0.90,0.80,0.10,2.10
500,200,0.50,0.80,0.10,3.07
100,50,0.50,1.00,0.01,3.38
100,200,0.10,0.90,0.10,4.33
100,200,0.10,0.90,0.20,4.23
100,50,0.50,0.80,0.10,3.41
50,500,0.90,0.80,0.20,2.01
100,500,0.90,0.70,0.10,1.97
100,200,0.10,0.90,0.05,4.38
100,50,0.50,0.80,0.20,3.40
200,200,0.90,1.00,0.05,2.06
100,200,0.10,0.90,0.01,4.50
50,500,0.90,0.80,0.05,2.10
100,50,0.50,0.80,0.05,3.40
100,200,0.10,1.00,0.10,4.29
100,50,0.50,0.80,0.01,3.47
50,500,0.90,0.80,0.01,2.11
100,200,0.10,1.00,0.20,4.25
100,500,0.90,0.70,0.20,1.93
100,50,0.50,0.70,0.10,3.44
100,200,0.10,1.00,0.05,4.35
500,100,0.50,0.70,0.10,3.21
50,500,0.90,0.70,0.10,2.06
100,200,0.10,1.00,0.01,4.48
100,50,0.50,0.70,0.20,3.40
200,200,0.90,1.00,0.01,2.09
100,200,0.10,0.80,0.10,4.38
100,50,0.50,0.70,0.05,3.44
50,500,0.90,0.70,0.20,2.02
100,500,0.90,0.70,0.05,2.03
100,200,0.10,0.80,0.20,4.26
100,50,0.50,0.70,0.01,3.36
500,200,0.50,0.80,0.20,3.07
100,200,0.10,0.80,0.05,4.38
50,500,0.90,0.70,0.05,2.14
100,200,0.10,0.80,0.01,4.45
100,50,0.90,0.90,0.10,2.14
50,500,0.90,0.70,0.01,2.16
100,200,0.10,0.70,0.10,4.42
100,500,0.90,0.70,0.01,2.13
200,200,0.90,0.80,0.10,2.07
100,200,0.10,0.70,0.20,4.30
50,500,0.30,0.90,0.10,3.70
100,50,0.90,0.90,0.20,2.14
500,500,0.50,1.00,0.20,2.57
100,200,0.10,0.70,0.05,4.44
500,100,0.50,0.70,0.20,3.24
50,500,0.30,0.90,0.20,3.50
100,500,0.30,0.90,0.10,3.53
100,200,0.10,0.70,0.01,4.54
100,50,0.90,0.90,0.05,2.15
50,500,0.30,0.90,0.05,3.79
50,100,0.50,0.90,0.10,3.37
50,100,0.50,0.90,0.20,3.39
50,500,0.30,0.90,0.01,3.99
50,100,0.50,0.90,0.05,3.41
100,50,0.90,0.90,0.01,2.10
100,500,0.30,0.90,0.20,3.47
50,100,0.50,0.90,0.01,3.38
200,200,0.90,0.80,0.20,2.03
50,500,0.30,1.00,0.10,3.68
50,100,0.50,1.00,0.10,3.40
50,100,0.50,1.00,0.20,3.40
50,500,0.30,1.00,0.20,3.59
100,50,0.90,1.00,0.10,2.15
50,100,0.50,1.00,0.05,3.43
100,500,0.30,0.90,0.05,3.67
