Poblacion,Generaciones,Greedy,Cruce,Mutacion,Fitness
50,100,0.50,0.90,0.10,-49.33
50,200,0.50,0.90,0.10,-47.43
50,100,0.50,0.90,0.20,-47.40
50,200,0.50,0.90,0.20,-49.44
100,200,0.50,0.90,0.10,-49.51
50,100,0.50,0.90,0.05,-46.22
50,200,0.50,0.90,0.05,-46.87
50,100,0.50,0.90,0.01,-48.39
200,100,0.50,0.90,0.10,-50.88
50,100,0.50,1.00,0.10,-47.05
50,200,0.50,0.90,0.01,-46.49
100,200,0.50,0.90,0.20,-47.41
200,200,0.50,0.90,0.10,-50.04
50,200,0.50,1.00,0.10,-46.67
50,100,0.50,1.00,0.20,-46.98
100,200,0.50,0.90,0.05,-47.50
50,100,0.50,1.00,0.05,-46.84
50,200,0.50,1.00,0.20,-47.29
50,100,0.50,1.00,0.01,-46.55
200,100,0.50,0.90,0.20,-50.95
200,500,0.50,0.90,0.10,-50.60
50,200,0.50,1.00,0.05,-46.01
50,100,0.50,0.80,0.10,-46.75
500,100,0.50,0.90,0.10,-51.22
100,200,0.50,0.90,0.01,-46.61
50,200,0.50,1.00,0.01,-45.76
50,100,0.50,0.80,0.20,-47.34
200,200,0.50,0.90,0.20,-50.92
50,200,0.50,0.80,0.10,-49.25
50,100,0.50,0.80,0.05,-46.08
50,100,0.50,0.80,0.01,-46.32
100,200,0.50,1.00,0.10,-48.26
50,200,0.50,0.80,0.20,-47.09
200,100,0.50,0.90,0.05,-48.23
50,100,0.50,0.70,0.10,-46.29
50,200,0.50,0.80,0.05,-48.71
50,100,0.50,0.70,0.20,-47.10
500,200,0.50,0.90,0.10,-53.58
100,200,0.50,1.00,0.20,-49.72
50,200,0.50,0.80,0.01,-45.81
50,100,0.50,0.70,0.05,-47.27
200,200,0.50,0.90,0.05,-49.64
50,100,0.50,0.70,0.01,-46.55
50,200,0.50,0.70,0.10,-45.87
200,100,0.50,0.90,0.01,-48.85
200,500,0.50,0.90,0.20,-53.48
100,200,0.50,1.00,0.05,-48.26
50,200,0.50,0.70,0.20,-46.35
50,100,0.90,0.90,0.10,-51.01
50,200,0.50,0.70,0.05,-47.81
50,100,0.90,0.90,0.20,-51.41
50,200,0.50,0.70,0.01,-45.99
100,200,0.50,1.00,0.01,-49.33
500,100,0.50,0.90,0.20,-51.94
200,100,0.50,1.00,0.10,-50.22
50,100,0.90,0.90,0.05,-51.28
200,200,0.50,0.90,0.01,-47.51
50,200,0.90,0.90,0.10,-51.25
50,100,0.90,0.90,0.01,-51.22
100,200,0.50,0.80,0.10,-47.89
50,200,0.90,0.90,0.20,-51.17
50,100,0.90,1.00,0.10,-50.86
200,100,0.50,1.00,0.20,-47.60
100,200,0.50,0.80,0.20,-48.25
50,200,0.90,0.90,0.05,-51.10
50,100,0.90,1.00,0.20,-51.03
200,500,0.50,0.90,0.05,-51.09
200,200,0.50,1.00,0.10,-51.27
50,100,0.90,1.00,0.05,-50.77
50,200,0.90,0.90,0.01,-53.79
100,200,0.50,0.80,0.05,-47.89
50,100,0.90,1.00,0.01,-50.82
500,200,0.50,0.90,0.20,-52.20
200,100,0.50,1.00,0.05,-47.55
50,200,0.90,1.00,0.10,-51.31
100,200,0.50,0.80,0.01,-47.70
50,100,0.90,0.80,0.10,-51.04
50,200,0.90,1.00,0.20,-51.26
500,100,0.50,0.90,0.05,-50.72
200,200,0.50,1.00,0.20,-50.28
50,100,0.90,0.80,0.20,-52.16
100,200,0.50,0.70,0.10,-47.04
50,200,0.90,1.00,0.05,-51.06
200,100,0.50,1.00,0.01,-49.60
50,100,0.90,0.80,0.05,-51.01
200,500,0.50,0.90,0.01,-50.10
50,200,0.90,1.00,0.01,-51.58
50,100,0.90,0.80,0.01,-51.38
100,200,0.50,0.70,0.20,-49.56
50,200,0.90,0.80,0.10,-51.05
50,100,0.90,0.70,0.10,-51.02
200,200,0.50,1.00,0.05,-50.13
200,100,0.50,0.80,0.10,-47.44
100,200,0.50,0.70,0.05,-46.80
50,100,0.90,0.70,0.20,-53.57
50,200,0.90,0.80,0.20,-51.51
50,100,0.90,0.70,0.05,-51.03
50,200,0.90,0.80,0.05,-51.05
100,200,0.50,0.70,0.01,-46.02
50,100,0.90,0.70,0.01,-50.97
200,100,0.50,0.80,0.20,-48.47
50,200,0.90,0.80,0.01,-51.12
50,100,0.30,0.90,0.10,-44.16
500,100,0.50,0.90,0.01,-50.54
200,200,0.50,1.00,0.01,-49.45
50,100,0.30,0.90,0.20,-43.64
200,500,0.50,1.00,0.10,-53.92
500,200,0.50,0.90,0.05,-50.56
50,100,0.30,0.90,0.05,-44.44
50,200,0.90,0.70,0.10,-50.96
100,200,0.90,0.90,0.10,-52.19
50,100,0.30,0.90,0.01,-44.01
50,100,0.30,1.00,0.10,-43.30
50,200,0.90,0.70,0.20,-51.19
200,100,0.50,0.80,0.05,-47.93
50,100,0.30,1.00,0.20,-44.34
50,100,0.30,1.00,0.05,-47.00
50,100,0.30,1.00,0.01,-42.45
50,200,0.90,0.70,0.05,-50.95
100,200,0.90,0.90,0.20,-53.20
200,200,0.50,0.80,0.10,-49.91
50,100,0.30,0.80,0.10,-44.34
50,100,0.30,0.80,0.20,-43.44
50,200,0.90,0.70,0.01,-51.06
50,100,0.30,0.80,0.05,-45.19
200,100,0.50,0.80,0.01,-48.63
50,100,0.30,0.80,0.01,-44.45
50,200,0.30,0.90,0.10,-47.82
50,100,0.30,0.70,0.10,-43.00
50,200,0.30,0.90,0.20,-44.00
100,200,0.90,0.90,0.05,-50.91
50,100,0.30,0.70,0.20,-44.15
200,500,0.50,1.00,0.20,-52.24
50,200,0.30,0.90,0.05,-43.69
50,100,0.30,0.70,0.05,-43.15
200,200,0.50,0.80,0.20,-49.02
50,100,0.30,0.70,0.01,-43.49
50,200,0.30,0.90,0.01,-42.81
500,100,0.50,1.00,0.10,-51.09
50,100,0.10,0.90,0.10,-42.48
200,100,0.50,0.70,0.10,-48.49
50,100,0.10,0.90,0.20,-43.23
50,200,0.30,1.00,0.10,-44.02
50,100,0.10,0.90,0.05,-43.82
50,100,0.10,0.90,0.01,-42.96
100,200,0.90,0.90,0.01,-51.25
50,100,0.10,1.00,0.10,-41.36
50,200,0.30,1.00,0.20,-45.72
50,100,0.10,1.00,0.20,-42.87
50,200,0.30,1.00,0.05,-45.79
50,100,0.10,1.00,0.05,-41.62
50,100,0.10,1.00,0.01,-43.36
50,100,0.10,0.80,0.10,-42.80
500,200,0.50,0.90,0.01,-49.14
50,200,0.30,1.00,0.01,-43.82
200,100,0.50,0.70,0.20,-48.91
50,100,0.10,0.80,0.20,-43.97
50,100,0.10,0.80,0.05,-43.01
200,200,0.50,0.80,0.05,-47.68
50,200,0.30,0.80,0.10,-43.03
100,200,0.90,1.00,0.10,-52.39
50,100,0.10,0.80,0.01,-39.87
50,100,0.10,0.70,0.10,-41.39
50,200,0.30,0.80,0.20,-46.56
50,100,0.10,0.70,0.20,-41.50
50,100,0.10,0.70,0.05,-41.54
50,100,0.10,0.70,0.01,-40.46
50,200,0.30,0.80,0.05,-44.53
200,500,0.50,1.00,0.05,-50.42
50,50,0.50,0.90,0.10,-48.30
50,200,0.30,0.80,0.01,-43.66
200,100,0.50,0.70,0.05,-48.01
50,50,0.50,0.90,0.20,-47.23
100,200,0.90,1.00,0.20,-52.63
50,200,0.30,0.70,0.10,-44.89
50,50,0.50,0.90,0.05,-46.01
50,200,0.30,0.70,0.20,-44.71
200,200,0.50,0.80,0.01,-47.97
50,50,0.50,0.90,0.01,-46.18
500,100,0.50,1.00,0.20,-52.22
50,200,0.30,0.70,0.05,-46.06
50,50,0.50,1.00,0.10,-47.34
50,200,0.30,0.70,0.01,-44.53
50,50,0.50,1.00,0.20,-47.26
200,100,0.50,0.70,0.01,-51.77
100,200,0.90,1.00,0.05,-53.57
50,200,0.10,0.90,0.10,-42.31
50,50,0.50,1.00,0.05,-48.83
50,200,0.10,0.90,0.20,-44.43
50,200,0.10,0.90,0.05,-42.01
50,50,0.50,1.00,0.01,-46.73
50,200,0.10,0.90,0.01,-41.06
50,50,0.50,0.80,0.10,-46.95
200,200,0.50,0.70,0.10,-48.33
50,200,0.10,1.00,0.10,-43.10
50,50,0.50,0.80,0.20,-46.23
50,200,0.10,1.00,0.20,-44.16
200,500,0.50,1.00,0.01,-48.35
100,200,0.90,1.00,0.01,-53.34
50,50,0.50,0.80,0.05,-45.92
50,200,0.10,1.00,0.05,-43.98
50,200,0.10,1.00,0.01,-42.63
50,50,0.50,0.80,0.01,-47.06
500,200,0.50,1.00,0.10,-52.86
50,200,0.10,0.80,0.10,-40.25
50,50,0.50,0.70,0.10,-47.29
200,100,0.90,0.90,0.10,-52.02
50,200,0.10,0.80,0.20,-41.09
50,50,0.50,0.70,0.20,-46.13
50,200,0.10,0.80,0.05,-40.79
100,200,0.90,0.80,0.10,-51.63
50,50,0.50,0.70,0.05,-46.65
200,200,0.50,0.70,0.20,-50.85
50,200,0.10,0.80,0.01,-39.40
50,200,0.10,0.70,0.10,-42.91
50,50,0.50,0.70,0.01,-46.28
500,100,0.50,1.00,0.05,-50.74
50,200,0.10,0.70,0.20,-41.74
50,200,0.10,0.70,0.05,-39.05
50,50,0.90,0.90,0.10,-50.82
50,200,0.10,0.70,0.01,-41.49
100,200,0.90,0.80,0.20,-51.93
50,50,0.90,0.90,0.20,-51.37
200,500,0.50,0.80,0.10,-49.08
200,100,0.90,0.90,0.20,-52.41
50,500,0.50,0.90,0.10,-47.31
50,50,0.90,0.90,0.05,-51.36
200,200,0.50,0.70,0.05,-48.42
50,50,0.90,0.90,0.01,-51.30
100,200,0.90,0.80,0.05,-51.30
50,500,0.50,0.90,0.20,-49.89
